,收盘价,,
,close,,
日期,沪深300,上证综指,深证综指
Date,000300.SH,000001.SH,399106.SZ
1995-01-27,,562.59,124.79
1995-02-28,,549.26,126.05
1995-03-31,,646.92,135.3
1995-04-28,,579.93,121.27
1995-05-31,,700.51,134.85
1995-06-30,,630.58,124.78
1995-07-31,,695.55,128.8
1995-08-31,,723.87,135.23
1995-09-29,,722.43,133.36
1995-10-31,,717.32,134.25
1995-11-30,,641.14,126.17
1995-12-29,,555.29,113.25
1996-01-31,,537.35,109.145
1996-02-16,,552.94,112.374
1996-03-29,,556.39,111.969
1996-04-30,,681.16,160.546
1996-05-31,,643.65,163.84
1996-06-28,,804.251,191.672
1996-07-31,,822.477,257.433
1996-08-30,,809.938,260.982
1996-09-27,,875.525,266.847
1996-10-31,,976.71,370.056
1996-11-29,,1032.947,419.636
1996-12-31,,917.018,327.456
1997-01-31,,964.742,356.602
1997-02-28,,1040.273,365.304
1997-03-31,,1234.617,435.821
1997-04-30,,1393.749,465.216
1997-05-30,,1285.182,421.438
1997-06-27,,1250.272,425.867
1997-07-31,,1189.76,385.454
1997-08-29,,1221.064,373.293
1997-09-30,,1097.383,330.814
1997-10-31,,1180.393,390.998
1997-11-28,,1139.628,366.886
1997-12-31,,1194.102,381.292
1998-01-23,,1222.913,383.66
1998-02-27,,1206.53,374.406
1998-03-31,,1243.016,378.843
1998-04-30,,1343.448,413.271
1998-05-29,,1411.206,436.328
1998-06-30,,1339.202,403.363
1998-07-31,,1316.919,395.487
1998-08-31,,1150.223,343.721
1998-09-30,,1242.896,371.688
1998-10-30,,1217.316,371.381
1998-11-30,,1247.417,375.772
1998-12-31,,1146.7,343.853
1999-01-29,,1134.673,340.689
1999-02-09,,1090.087,324.215
1999-03-31,,1158.054,348.244
1999-04-30,,1120.927,336.299
1999-05-31,,1279.326,370.609
1999-06-30,,1689.428,507.166
1999-07-30,,1601.459,473.192
1999-08-31,,1627.116,474.381
1999-09-30,,1570.702,464.742
1999-10-29,,1504.563,442.065
1999-11-30,,1434.973,423.936
1999-12-30,,1366.58,402.183
2000-01-28,,1534.997,469.649
2000-02-29,,1714.578,524.637
2000-03-31,,1800.225,560.985
