trade_date,amihud_000001.SZ,amihud_600015.SH,amihud_601398.SH,amihud_601939.SH,amihud_601988.SH,amihud_601998.SH
2018/1/2,1.62E-05,5.84E-05,1.33E-05,2.69E-05,1.82E-05,9.81E-05
2018/1/3,1.22E-05,5.55E-05,1.48E-05,2.87E-05,2.11E-05,6.80E-05
2018/1/4,7.38E-06,5.86E-05,7.37E-06,1.99E-05,1.68E-05,8.16E-05
2018/1/5,9.41E-06,2.41E-05,4.79E-06,2.30E-05,1.41E-05,7.53E-05
2018/1/8,1.20E-05,6.02E-05,7.46E-06,2.79E-05,1.10E-05,4.60E-05
2018/1/9,1.22E-05,7.59E-05,1.13E-05,1.64E-05,1.88E-05,5.34E-05
2018/1/10,1.35E-05,4.75E-05,1.39E-05,2.92E-05,1.44E-05,5.40E-05
2018/1/11,1.23E-05,4.33E-05,1.32E-05,3.20E-05,1.73E-05,6.11E-05
2018/1/12,1.13E-05,4.13E-05,1.17E-05,1.70E-05,1.56E-05,6.75E-05
2018/1/15,1.36E-05,3.85E-05,1.11E-05,2.33E-05,1.60E-05,5.86E-05
2018/1/16,7.29E-06,3.37E-05,1.31E-05,2.34E-05,1.53E-05,5.27E-05
2018/1/17,1.08E-05,4.29E-05,1.48E-05,2.28E-05,1.74E-05,7.80E-05
2018/1/18,1.08E-05,3.36E-05,1.52E-05,3.57E-05,1.02E-05,5.45E-05
2018/1/19,7.88E-06,3.22E-05,1.00E-05,1.58E-05,1.18E-05,4.69E-05
2018/1/22,1.15E-05,4.01E-05,1.41E-05,1.96E-05,1.70E-05,4.54E-05
2018/1/23,1.12E-05,3.52E-05,1.29E-05,2.87E-05,2.27E-05,5.06E-05
2018/1/24,1.02E-05,2.94E-05,1.29E-05,1.16E-05,1.41E-05,4.14E-05
2018/1/25,1.33E-05,3.18E-05,1.41E-05,1.59E-05,2.23E-05,7.21E-05
2018/1/26,7.82E-06,3.27E-05,1.21E-05,1.31E-05,1.83E-05,8.32E-05
2018/1/29,1.60E-05,3.55E-05,1.58E-05,1.53E-05,2.18E-05,7.87E-05
2018/1/30,1.41E-05,3.63E-05,1.67E-05,1.64E-05,2.46E-05,6.83E-05
2018/1/31,1.56E-05,4.38E-05,1.43E-05,1.37E-05,1.77E-05,6.84E-05
2018/2/1,1.16E-05,3.29E-05,1.07E-05,1.20E-05,1.50E-05,5.39E-05
2018/2/2,2.07E-05,5.98E-05,1.26E-05,1.80E-05,2.18E-05,9.23E-05
2018/2/5,1.79E-05,5.64E-05,1.30E-05,2.05E-05,2.65E-05,0.000103788
2018/2/6,1.20E-05,2.90E-05,9.02E-06,2.23E-05,1.26E-05,4.77E-05
2018/2/7,2.52E-05,4.20E-05,1.96E-05,3.27E-05,2.41E-05,0.000102339
2018/2/8,1.13E-05,6.62E-05,1.71E-05,2.82E-05,2.66E-05,0.000102326
2018/2/9,2.93E-05,0.000130169,1.48E-05,2.26E-05,2.95E-05,0.0001183
2018/2/12,1.66E-05,3.95E-05,1.23E-05,2.49E-05,2.43E-05,6.79E-05
2018/2/13,2.62E-05,6.35E-05,1.40E-05,2.35E-05,2.93E-05,5.01E-05
2018/2/14,2.20E-05,7.38E-05,2.02E-05,3.99E-05,3.27E-05,7.67E-05
2018/2/22,2.75E-05,6.87E-05,1.60E-05,3.35E-05,3.54E-05,0.000106392
2018/2/23,2.11E-05,6.59E-05,1.19E-05,1.52E-05,2.15E-05,0.000102297
2018/2/26,2.40E-05,4.41E-05,1.65E-05,2.74E-05,2.71E-05,8.65E-05
2018/2/27,2.58E-05,7.46E-05,1.99E-05,3.32E-05,2.13E-05,7.75E-05
2018/2/28,1.98E-05,5.81E-05,1.48E-05,2.87E-05,3.28E-05,0.000118698
2018/3/1,1.94E-05,0.000102484,2.00E-05,2.35E-05,2.44E-05,8.53E-05
2018/3/2,2.01E-05,6.79E-05,1.93E-05,2.94E-05,2.55E-05,9.27E-05
2018/3/5,2.61E-05,9.59E-05,2.11E-05,2.98E-05,2.77E-05,8.37E-05
2018/3/6,2.07E-05,5.61E-05,1.06E-05,1.82E-05,2.46E-05,5.86E-05
2018/3/7,1.41E-05,6.59E-05,1.03E-05,1.89E-05,2.08E-05,4.86E-05
2018/3/8,1.99E-05,8.12E-05,1.50E-05,2.02E-05,2.10E-05,7.09E-05
2018/3/9,1.60E-05,4.83E-05,1.01E-05,1.71E-05,2.57E-05,6.49E-05
2018/3/12,1.19E-05,3.62E-05,9.00E-06,1.40E-05,1.44E-05,3.92E-05
2018/3/13,1.39E-05,8.30E-05,7.99E-06,1.49E-05,2.16E-05,7.32E-05
2018/3/14,2.10E-05,6.90E-05,1.25E-05,2.43E-05,1.91E-05,8.35E-05
2018/3/15,1.63E-05,7.93E-05,1.11E-05,2.04E-05,2.03E-05,7.14E-05
2018/3/16,1.58E-05,5.66E-05,1.63E-05,2.13E-05,2.31E-05,5.54E-05
2018/3/19,2.07E-05,5.65E-05,1.81E-05,2.67E-05,1.71E-05,7.95E-05
2018/3/20,1.48E-05,0.000109193,1.91E-05,2.75E-05,3.82E-05,0.000108848
2018/3/21,1.44E-05,7.97E-05,1.52E-05,2.37E-05,1.43E-05,5.80E-05
2018/3/22,2.57E-05,9.75E-05,1.61E-05,3.43E-05,2.36E-05,0.000101318
2018/3/23,3.22E-05,9.86E-05,2.29E-05,3.01E-05,2.31E-05,8.01E-05
2018/3/26,2.85E-05,7.17E-05,2.35E-05,3.57E-05,4.47E-05,0.000122958
2018/3/27,2.32E-05,6.96E-05,1.57E-05,2.09E-05,2.35E-05,5.57E-05
2018/3/28,2.66E-05,9.83E-05,1.47E-05,2.78E-05,2.34E-05,6.28E-05
2018/3/29,3.95E-05,0.000113224,1.84E-05,3.50E-05,2.65E-05,0.000119569
2018/3/30,1.88E-05,6.83E-05,1.02E-05,2.42E-05,1.63E-05,7.83E-05
2018/4/2,2.23E-05,8.67E-05,1.75E-05,3.08E-05,1.91E-05,0.00011567
2018/4/3,2.00E-05,9.86E-05,1.48E-05,3.02E-05,2.42E-05,0.000103989
2018/4/4,2.40E-05,0.000102711,1.48E-05,3.73E-05,1.96E-05,8.03E-05
2018/4/9,2.87E-05,8.93E-05,1.10E-05,3.19E-05,1.92E-05,8.61E-05
2018/4/10,2.80E-05,0.000118172,2.38E-05,4.32E-05,3.52E-05,0.000115344
2018/4/11,1.89E-05,9.33E-05,1.46E-05,1.55E-05,1.93E-05,7.83E-05
2018/4/12,2.58E-05,0.000127102,2.43E-05,3.13E-05,2.61E-05,8.83E-05
2018/4/13,1.93E-05,0.000178437,2.38E-05,3.60E-05,3.42E-05,0.000159426
2018/4/16,3.00E-05,0.000103644,1.84E-05,2.45E-05,2.78E-05,0.000145359
2018/4/17,2.11E-05,0.000110425,1.65E-05,2.27E-05,2.84E-05,0.000120066
2018/4/18,2.07E-05,0.000102724,1.21E-05,1.53E-05,2.33E-05,0.000170997
2018/4/19,2.39E-05,9.35E-05,1.33E-05,2.23E-05,2.44E-05,0.000115938
2018/4/20,3.06E-05,0.000115042,1.81E-05,2.20E-05,2.60E-05,0.000108488
2018/4/23,2.49E-05,8.70E-05,2.24E-05,2.73E-05,3.17E-05,8.43E-05
2018/4/24,1.82E-05,0.000102834,1.15E-05,2.57E-05,3.11E-05,9.75E-05
2018/4/25,2.29E-05,9.38E-05,1.73E-05,1.94E-05,3.77E-05,0.00015043
2018/4/26,3.30E-05,0.000113167,1.52E-05,2.85E-05,2.81E-05,0.0001333
2018/4/27,2.69E-05,7.35E-05,1.80E-05,3.01E-05,4.12E-05,0.000120828
2018/5/2,1.63E-05,9.19E-05,2.09E-05,4.09E-05,2.71E-05,8.14E-05
2018/5/3,2.11E-05,5.43E-05,1.88E-05,3.60E-05,2.50E-05,0.000133212
2018/5/4,2.08E-05,4.97E-05,1.52E-05,2.38E-05,1.90E-05,0.000111928
2018/5/7,1.69E-05,5.25E-05,1.64E-05,2.57E-05,3.66E-05,0.00013291
2018/5/8,2.11E-05,5.61E-05,1.46E-05,2.13E-05,2.75E-05,0.000131237
2018/5/9,1.99E-05,4.35E-05,1.15E-05,2.71E-05,2.84E-05,9.26E-05
2018/5/10,2.69E-05,4.88E-05,1.64E-05,2.95E-05,4.36E-05,0.000195518
2018/5/11,1.80E-05,3.97E-05,1.08E-05,2.18E-05,2.99E-05,0.000140732
2018/5/14,1.71E-05,4.76E-05,1.30E-05,2.24E-05,2.22E-05,0.000119407
2018/5/15,2.06E-05,4.86E-05,1.19E-05,2.15E-05,3.34E-05,0.000147603
2018/5/16,2.67E-05,6.95E-05,1.89E-05,2.80E-05,3.31E-05,0.000160122
2018/5/17,2.32E-05,4.61E-05,1.40E-05,2.78E-05,2.23E-05,0.000109304
2018/5/18,3.08E-05,0.000104617,2.51E-05,3.22E-05,4.14E-05,0.000141801
2018/5/21,1.95E-05,5.11E-05,1.16E-05,1.86E-05,2.87E-05,0.00010838
2018/5/22,2.73E-05,0.000110177,1.36E-05,1.97E-05,3.60E-05,0.000163525
