"T","."
"2014-01-02","5.352881e-10"
"2014-01-03","4.639691e-10"
"2014-01-06","6.862205e-10"
"2014-01-07","7.242098e-10"
"2014-01-08","5.377752e-10"
"2014-01-09","6.225973e-10"
"2014-01-10","7.737641e-10"
"2014-01-13","7.601536e-10"
"2014-01-14","7.938935e-10"
"2014-01-15","6.218037e-10"
"2014-01-16","7.034958e-10"
"2014-01-17","7.203759e-10"
"2014-01-20","7.559764e-10"
"2014-01-21","6.263282e-10"
"2014-01-22","4.993544e-10"
"2014-01-23","3.839897e-10"
"2014-01-24","3.923081e-10"
"2014-01-27","4.265632e-10"
"2014-01-28","5.596850e-10"
"2014-01-29","4.797384e-10"
"2014-01-30","5.435765e-10"
"2014-02-07","5.710797e-10"
"2014-02-10","3.421366e-10"
"2014-02-11","3.349821e-10"
"2014-02-12","3.195605e-10"
"2014-02-13","3.793317e-10"
"2014-02-14","3.481115e-10"
"2014-02-17","2.961892e-10"
"2014-02-18","4.489868e-10"
"2014-02-19","0.000000e+00"
"2014-02-20","4.152672e-10"
"2014-02-21","4.393781e-10"
"2014-02-24","5.554941e-10"
"2014-02-25","5.702277e-10"
"2014-02-26","5.409165e-10"
"2014-02-27","5.365252e-10"
"2014-02-28","5.555423e-10"
"2014-03-03","4.534607e-10"
"2014-03-04","4.251362e-10"
"2014-03-05","4.671360e-10"
"2014-03-06","5.037372e-10"
"2014-03-07","4.584857e-10"
"2014-03-10","6.577268e-10"
"2014-03-11","5.889888e-10"
"2014-03-12","6.634510e-10"
"2014-03-13","5.334069e-10"
"2014-03-14","5.736080e-10"
"2014-03-17","5.232603e-10"
"2014-03-18","3.774740e-10"
"2014-03-19","4.476658e-10"
"2014-03-20","6.054879e-10"
"2014-03-21","6.953920e-10"
"2014-03-24","4.659128e-10"
"2014-03-25","4.943066e-10"
"2014-03-26","4.641348e-10"
"2014-03-27","5.592135e-10"
"2014-03-28","7.943457e-10"
"2014-03-31","7.033885e-10"
"2014-04-01","6.835666e-10"
"2014-04-02","5.759781e-10"
"2014-04-03","5.293451e-10"
"2014-04-04","6.033785e-10"
"2014-04-08","7.438171e-10"
"2014-04-09","5.807065e-10"
"2014-04-10","3.828932e-10"
"2014-04-11","4.778879e-10"
"2014-04-14","4.544147e-10"
"2014-04-15","4.095280e-10"
"2014-04-16","4.619969e-10"
"2014-04-17","4.150005e-10"
"2014-04-18","4.363376e-10"
"2014-04-21","4.966294e-10"
"2014-04-22","5.969170e-10"
"2014-04-23","5.627627e-10"
"2014-04-24","5.997489e-10"
"2014-04-25","7.154316e-10"
"2014-04-28","9.311339e-10"
"2014-04-29","9.197952e-10"
"2014-04-30","0.000000e+00"
"2014-05-05","7.594227e-10"
"2014-05-06","5.318698e-10"
"2014-05-07","7.148214e-10"
"2014-05-08","7.280921e-10"
"2014-05-09","8.282167e-10"
"2014-05-12","6.633786e-10"
"2014-05-13","5.699348e-10"
"2014-05-14","6.114986e-10"
"2014-05-15","7.875730e-10"
"2014-05-16","8.085247e-10"
"2014-05-19","8.702773e-10"
"2014-05-20","7.259594e-10"
"2014-05-21","7.893586e-10"
"2014-05-22","5.073431e-10"
"2014-05-23","5.721039e-10"
"2014-05-26","4.150807e-10"
"2014-05-27","4.385939e-10"
"2014-05-28","0.000000e+00"
"2014-05-29","4.341348e-10"
"2014-05-30","4.548324e-10"
"2014-06-03","4.702660e-10"
"2014-06-04","5.381632e-10"
"2014-06-05","4.743043e-10"
"2014-06-06","4.426252e-10"
"2014-06-09","5.164516e-10"
"2014-06-10","6.114978e-10"
"2014-06-11","4.818756e-10"
"2014-06-12","4.098457e-10"
"2014-06-13","3.572655e-10"
"2014-06-16","2.970883e-10"
"2014-06-17","3.755505e-10"
"2014-06-18","3.994161e-10"
"2014-06-19","6.818144e-10"
"2014-06-20","5.485871e-10"
"2014-06-23","4.552134e-10"
"2014-06-24","3.781758e-10"
"2014-06-25","4.607609e-10"
"2014-06-26","3.605279e-10"
"2014-06-27","3.422498e-10"
"2014-06-30","3.367074e-10"
"2014-07-01","2.988998e-10"
"2014-07-02","2.941114e-10"
"2014-07-03","2.745374e-10"
"2014-07-04","3.016729e-10"
"2014-07-07","3.484815e-10"
"2014-07-08","3.317265e-10"
"2014-07-09","3.970365e-10"
"2014-07-10","3.783373e-10"
"2014-07-11","4.977497e-10"
"2014-07-14","4.009945e-10"
"2014-07-15","3.563181e-10"
"2014-07-16","4.035506e-10"
"2014-07-17","4.272217e-10"
"2014-07-18","5.008726e-10"
"2014-07-21","4.976280e-10"
"2014-07-22","4.207027e-10"
"2014-07-23","4.905815e-10"
"2014-07-24","5.123375e-10"
"2014-07-25","5.587076e-10"
"2014-07-28","3.942357e-10"
"2014-07-29","6.816430e-10"
"2014-07-30","6.390886e-10"
"2014-07-31","4.412396e-10"
"2014-08-01","4.112943e-10"
"2014-08-04","3.563976e-10"
"2014-08-05","3.071992e-10"
"2014-08-06","3.045423e-10"
"2014-08-07","2.864866e-10"
"2014-08-08","3.086127e-10"
"2014-08-11","2.380587e-10"
"2014-08-12","2.250365e-10"
"2014-08-13","2.753381e-10"
"2014-08-14","2.421823e-10"
"2014-08-15","2.580524e-10"
"2014-08-18","2.145739e-10"
