"T","."
"2014-01-02","6.762679e-10"
"2014-01-03","7.289576e-10"
"2014-01-06","9.388542e-10"
"2014-01-07","9.498353e-10"
"2014-01-08","8.451574e-10"
"2014-01-09","9.852790e-10"
"2014-01-10","1.030869e-09"
"2014-01-13","1.160621e-09"
"2014-01-14","1.167773e-09"
"2014-01-15","9.536944e-10"
"2014-01-16","7.889930e-10"
"2014-01-17","9.622081e-10"
"2014-01-20","1.102861e-09"
"2014-01-21","9.991415e-10"
"2014-01-22","8.149339e-10"
"2014-01-23","5.893890e-10"
"2014-01-24","5.968264e-10"
"2014-01-27","7.735732e-10"
"2014-01-28","7.514800e-10"
"2014-01-29","6.994401e-10"
"2014-01-30","9.723067e-10"
"2014-02-07","9.548007e-10"
"2014-02-10","5.407515e-10"
"2014-02-11","4.251446e-10"
"2014-02-12","4.004979e-10"
"2014-02-13","4.371086e-10"
"2014-02-14","4.775707e-10"
"2014-02-17","3.404270e-10"
"2014-02-18","4.248249e-10"
"2014-02-19","4.234294e-10"
"2014-02-20","4.257172e-10"
"2014-02-21","5.823220e-10"
"2014-02-24","6.620577e-10"
"2014-02-25","7.449825e-10"
"2014-02-26","7.514165e-10"
"2014-02-27","6.801147e-10"
"2014-02-28","6.420564e-10"
"2014-03-03","5.033520e-10"
"2014-03-04","4.936431e-10"
"2014-03-05","5.106251e-10"
"2014-03-06","5.914228e-10"
"2014-03-07","5.735103e-10"
"2014-03-10","8.788608e-10"
"2014-03-11","7.291474e-10"
"2014-03-12","8.413485e-10"
"2014-03-13","6.078437e-10"
"2014-03-14","7.178033e-10"
"2014-03-17","0.000000e+00"
"2014-03-18","5.403936e-10"
"2014-03-19","0.000000e+00"
"2014-03-20","6.970152e-10"
"2014-03-21","0.000000e+00"
"2014-03-24","3.971536e-10"
"2014-03-25","4.468574e-10"
"2014-03-26","4.549369e-10"
"2014-03-27","5.186737e-10"
"2014-03-28","5.934502e-10"
"2014-03-31","6.940771e-10"
"2014-04-01","5.650828e-10"
"2014-04-02","4.490733e-10"
"2014-04-03","5.376787e-10"
"2014-04-04","5.848366e-10"
"2014-04-08","4.109358e-10"
"2014-04-09","3.296472e-10"
"2014-04-10","3.277309e-10"
"2014-04-11","3.649779e-10"
"2014-04-14","3.927492e-10"
"2014-04-15","4.829985e-10"
"2014-04-16","4.682899e-10"
"2014-04-17","4.852649e-10"
"2014-04-18","4.956875e-10"
"2014-04-21","5.946726e-10"
"2014-04-22","5.569462e-10"
"2014-04-23","7.603445e-10"
"2014-04-24","6.427365e-10"
"2014-04-25","7.330026e-10"
"2014-04-28","8.832397e-10"
"2014-04-29","8.021413e-10"
"2014-04-30","7.517540e-10"
"2014-05-05","7.995733e-10"
"2014-05-06","6.383605e-10"
"2014-05-07","0.000000e+00"
"2014-05-08","8.150801e-10"
"2014-05-09","7.819748e-10"
"2014-05-12","6.493385e-10"
"2014-05-13","5.560835e-10"
"2014-05-14","6.381385e-10"
"2014-05-15","8.506038e-10"
"2014-05-16","7.280306e-10"
"2014-05-19","8.838126e-10"
"2014-05-20","7.835021e-10"
"2014-05-21","9.407423e-10"
"2014-05-22","6.204611e-10"
"2014-05-23","6.832192e-10"
"2014-05-26","5.545502e-10"
"2014-05-27","5.872017e-10"
"2014-05-28","5.189162e-10"
"2014-05-29","6.004165e-10"
"2014-05-30","5.621390e-10"
"2014-06-03","5.918724e-10"
"2014-06-04","6.747288e-10"
"2014-06-05","7.288925e-10"
"2014-06-06","7.237759e-10"
"2014-06-09","7.038778e-10"
"2014-06-10","5.980104e-10"
"2014-06-11","5.062010e-10"
"2014-06-12","5.132158e-10"
"2014-06-13","4.442254e-10"
"2014-06-16","3.737415e-10"
"2014-06-17","5.420578e-10"
"2014-06-18","5.678895e-10"
"2014-06-19","9.443437e-10"
"2014-06-20","7.432203e-10"
"2014-06-23","6.425491e-10"
"2014-06-24","6.127606e-10"
"2014-06-25","7.112041e-10"
"2014-06-26","5.134168e-10"
"2014-06-27","4.709906e-10"
"2014-06-30","4.399654e-10"
"2014-07-01","3.966601e-10"
"2014-07-02","3.936570e-10"
"2014-07-03","3.469447e-10"
"2014-07-04","3.774238e-10"
"2014-07-07","4.413606e-10"
"2014-07-08","4.335977e-10"
"2014-07-09","4.807723e-10"
"2014-07-10","4.673116e-10"
"2014-07-11","3.753684e-10"
"2014-07-14","3.886169e-10"
"2014-07-15","0.000000e+00"
"2014-07-16","3.457401e-10"
