"T","."
"2014-01-02","4.786485e-10"
"2014-01-03","4.198965e-10"
"2014-01-06","5.844621e-10"
"2014-01-07","5.682022e-10"
"2014-01-08","4.534358e-10"
"2014-01-09","5.470998e-10"
"2014-01-10","6.924196e-10"
"2014-01-13","6.737449e-10"
"2014-01-14","6.526166e-10"
"2014-01-15","5.570766e-10"
"2014-01-16","5.206629e-10"
"2014-01-17","6.520261e-10"
"2014-01-20","8.042821e-10"
"2014-01-21","6.145257e-10"
"2014-01-22","5.023969e-10"
"2014-01-23","4.024404e-10"
"2014-01-24","4.368421e-10"
"2014-01-27","4.632899e-10"
"2014-01-28","4.879502e-10"
"2014-01-29","4.826647e-10"
"2014-01-30","6.470408e-10"
"2014-02-07","7.425848e-10"
"2014-02-10","4.139757e-10"
"2014-02-11","3.815114e-10"
"2014-02-12","3.623440e-10"
"2014-02-13","3.805765e-10"
"2014-02-14","3.806938e-10"
"2014-02-17","2.909430e-10"
"2014-02-18","2.867860e-10"
"2014-02-19","3.138605e-10"
"2014-02-20","3.814644e-10"
"2014-02-21","3.704248e-10"
"2014-02-24","3.870387e-10"
"2014-02-25","4.686323e-10"
"2014-02-26","4.702758e-10"
"2014-02-27","4.995704e-10"
"2014-02-28","5.276097e-10"
"2014-03-03","4.597140e-10"
"2014-03-04","4.388657e-10"
"2014-03-05","4.480274e-10"
"2014-03-06","4.524197e-10"
"2014-03-07","4.299847e-10"
"2014-03-10","5.777077e-10"
"2014-03-11","5.630907e-10"
"2014-03-12","6.000764e-10"
"2014-03-13","5.023291e-10"
"2014-03-14","5.433864e-10"
"2014-03-17","5.090856e-10"
"2014-03-18","3.542477e-10"
"2014-03-19","4.530294e-10"
"2014-03-20","5.477028e-10"
"2014-03-21","5.680146e-10"
"2014-03-24","4.342985e-10"
"2014-03-25","4.755843e-10"
"2014-03-26","4.493760e-10"
"2014-03-27","5.178953e-10"
"2014-03-28","6.283140e-10"
"2014-03-31","0.000000e+00"
"2014-04-01","6.027292e-10"
"2014-04-02","5.725886e-10"
"2014-04-03","6.388464e-10"
"2014-04-04","0.000000e+00"
"2014-04-08","4.734007e-10"
"2014-04-09","0.000000e+00"
"2014-04-10","3.181302e-10"
"2014-04-11","4.060211e-10"
"2014-04-14","4.100668e-10"
"2014-04-15","4.068312e-10"
"2014-04-16","4.512124e-10"
"2014-04-17","4.629964e-10"
"2014-04-18","4.698641e-10"
"2014-04-21","5.266256e-10"
"2014-04-22","6.309875e-10"
"2014-04-23","5.836994e-10"
"2014-04-24","6.193949e-10"
"2014-04-25","6.090890e-10"
"2014-04-28","7.881041e-10"
"2014-04-29","6.935437e-10"
"2014-04-30","6.838105e-10"
"2014-05-05","6.103403e-10"
"2014-05-06","5.228546e-10"
"2014-05-07","6.647317e-10"
"2014-05-08","6.744903e-10"
"2014-05-09","7.193089e-10"
"2014-05-12","6.448971e-10"
"2014-05-13","6.079820e-10"
"2014-05-14","6.374297e-10"
"2014-05-15","7.162753e-10"
"2014-05-16","7.565169e-10"
"2014-05-19","7.965696e-10"
"2014-05-20","7.339074e-10"
"2014-05-21","7.495616e-10"
"2014-05-22","5.308007e-10"
"2014-05-23","5.308994e-10"
"2014-05-26","4.300947e-10"
"2014-05-27","4.363498e-10"
"2014-05-28","4.208269e-10"
"2014-05-29","4.800398e-10"
"2014-05-30","0.000000e+00"
"2014-06-03","5.280417e-10"
"2014-06-04","6.021579e-10"
"2014-06-05","0.000000e+00"
"2014-06-06","4.620721e-10"
"2014-06-09","5.386164e-10"
"2014-06-10","5.493034e-10"
"2014-06-11","4.191049e-10"
"2014-06-12","4.503461e-10"
"2014-06-13","3.587401e-10"
"2014-06-16","3.447619e-10"
"2014-06-17","4.129601e-10"
"2014-06-18","0.000000e+00"
"2014-06-19","7.916856e-10"
"2014-06-20","6.388590e-10"
"2014-06-23","5.377474e-10"
"2014-06-24","4.673436e-10"
"2014-06-25","5.437280e-10"
"2014-06-26","4.255223e-10"
"2014-06-27","3.949916e-10"
"2014-06-30","4.054152e-10"
"2014-07-01","3.395422e-10"
"2014-07-02","3.354375e-10"
"2014-07-03","3.167387e-10"
"2014-07-04","0.000000e+00"
"2014-07-07","4.357128e-10"
"2014-07-08","3.675534e-10"
"2014-07-09","3.887037e-10"
"2014-07-10","3.989417e-10"
"2014-07-11","3.894133e-10"
"2014-07-14","3.740179e-10"
"2014-07-15","3.855495e-10"
"2014-07-16","4.045231e-10"
"2014-07-17","4.716405e-10"
"2014-07-18","4.438022e-10"
"2014-07-21","4.506455e-10"
"2014-07-22","3.885213e-10"
"2014-07-23","4.621102e-10"
"2014-07-24","4.501194e-10"
"2014-07-25","4.415046e-10"
"2014-07-28","3.300592e-10"
"2014-07-29","2.799932e-10"
"2014-07-30","2.890313e-10"
"2014-07-31","2.925647e-10"
"2014-08-01","2.751910e-10"
"2014-08-04","2.511689e-10"
"2014-08-05","2.731383e-10"
"2014-08-06","2.475817e-10"
"2014-08-07","2.629413e-10"
"2014-08-08","3.532596e-10"
"2014-08-11","2.443705e-10"
"2014-08-12","2.344417e-10"
"2014-08-13","2.766243e-10"
"2014-08-14","2.604755e-10"
"2014-08-15","0.000000e+00"
"2014-08-18","2.668469e-10"
"2014-08-19","2.867993e-10"
"2014-08-20","2.405509e-10"
"2014-08-21","4.556479e-10"
"2014-08-22","0.000000e+00"
"2014-08-25","4.433588e-10"
"2014-08-26","4.083544e-10"
"2014-08-27","3.601558e-10"
"2014-08-28","3.811021e-10"
"2014-08-29","3.561038e-10"
"2014-09-01","2.691464e-10"
"2014-09-02","1.834286e-10"
"2014-09-03","1.654819e-10"
"2014-09-04","1.636749e-10"
"2014-09-05","2.010535e-10"
"2014-09-09","1.879556e-10"
"2014-09-10","1.925257e-10"
"2014-09-11","1.938063e-10"
"2014-09-12","1.932079e-10"
"2014-09-15","1.795320e-10"
"2014-09-16","2.890028e-10"
"2014-09-17","0.000000e+00"
"2014-09-18","3.109471e-10"
"2014-09-19","2.366895e-10"
"2014-09-22","2.580267e-10"
"2014-09-23","2.300223e-10"
"2014-09-24","1.900040e-10"
"2014-09-25","5.524041e-10"
"2014-09-26","3.105643e-10"
"2014-09-29","1.889530e-10"
"2014-09-30","2.110389e-10"
"2014-10-08","5.965851e-10"
"2014-10-09","3.663051e-10"
"2014-10-10","5.303922e-10"
"2014-10-13","5.982890e-10"
"2014-10-14","3.708998e-10"
"2014-10-15","2.954390e-10"
"2014-10-16","2.765623e-10"
"2014-10-17","3.887280e-10"
"2014-10-20","3.662692e-10"
"2014-10-21","3.970309e-10"
"2014-10-22","4.442708e-10"
"2014-10-23","3.563412e-10"
"2014-10-24","3.551641e-10"
"2014-10-27","3.827992e-10"
"2014-10-28","2.349625e-10"
"2014-10-29","1.670218e-10"
"2014-10-30","1.953609e-10"
"2014-10-31","2.353802e-10"
"2014-11-03","2.191650e-10"
"2014-11-04","2.132323e-10"
"2014-11-05","2.865395e-10"
"2014-11-06","2.667451e-10"
"2014-11-07","2.379138e-10"
"2014-11-10","2.322789e-10"
"2014-11-11","3.214221e-10"
"2014-11-12","3.197247e-10"
"2014-11-13","3.282918e-10"
"2014-11-14","0.000000e+00"
"2014-11-17","3.518260e-10"
"2014-11-18","2.930408e-10"
"2014-11-19","2.859820e-10"
"2014-11-20","2.813004e-10"
"2014-11-21","2.218461e-10"
"2014-11-24","1.833902e-10"
"2014-11-25","1.801610e-10"
"2014-11-26","1.761244e-10"
"2014-11-27","1.597135e-10"
"2014-11-28","1.673344e-10"
"2014-12-01","2.107310e-10"
"2014-12-02","1.677535e-10"
"2014-12-03","1.799919e-10"
"2014-12-04","3.814944e-10"
"2014-12-05","2.343251e-10"
"2014-12-08","1.780523e-10"
"2014-12-09","2.350843e-10"
"2014-12-10","2.949336e-10"
"2014-12-11","2.153536e-10"
"2014-12-12","2.004058e-10"
"2014-12-15","2.016527e-10"
"2014-12-16","1.875724e-10"
"2014-12-17","2.347884e-10"
"2014-12-18","2.282172e-10"
"2014-12-19","3.048723e-10"
"2014-12-22","4.578461e-10"
"2014-12-23","3.971897e-10"
"2014-12-24","3.510786e-10"
"2014-12-25","2.931864e-10"
"2014-12-26","2.799429e-10"
"2014-12-29","3.427067e-10"
"2014-12-30","3.307724e-10"
"2014-12-31","3.220959e-10"
"2015-01-05","3.042336e-10"
"2015-01-06","3.052613e-10"
"2015-01-07","2.728692e-10"
"2015-01-08","2.453802e-10"
"2015-01-09","2.541653e-10"
"2015-01-12","3.633520e-10"
"2015-01-13","3.125941e-10"
"2015-01-14","2.933286e-10"
"2015-01-15","2.880967e-10"
"2015-01-16","2.208821e-10"
"2015-01-19","3.501097e-10"
"2015-01-20","2.410108e-10"
"2015-01-21","1.704503e-10"
"2015-01-22","0.000000e+00"
"2015-01-23","1.930254e-10"
"2015-01-26","1.895894e-10"
"2015-01-27","1.945914e-10"
"2015-01-28","2.022936e-10"
"2015-01-29","3.490511e-10"
"2015-01-30","4.313437e-10"
"2015-02-02","5.882007e-10"
"2015-02-03","4.876094e-10"
"2015-02-04","2.956143e-10"
"2015-02-05","2.599952e-10"
"2015-02-06","3.665647e-10"
"2015-02-09","3.655221e-10"
"2015-02-10","3.298758e-10"
"2015-02-11","3.039224e-10"
"2015-02-12","2.526262e-10"
"2015-02-13","2.202975e-10"
"2015-02-16","2.048896e-10"
"2015-02-17","2.075945e-10"
"2015-02-25","2.572204e-10"
"2015-02-26","1.898756e-10"
"2015-02-27","1.665385e-10"
"2015-03-02","1.554215e-10"
"2015-03-03","1.584937e-10"
"2015-03-04","1.791829e-10"
"2015-03-05","1.489227e-10"
"2015-03-06","2.092001e-10"
"2015-03-09","2.155771e-10"
"2015-03-10","1.677904e-10"
"2015-03-11","1.885881e-10"
"2015-03-12","1.977949e-10"
"2015-03-13","1.724310e-10"
"2015-03-16","1.401307e-10"
"2015-03-17","1.138283e-10"
"2015-03-18","1.242904e-10"
"2015-03-19","1.769925e-10"
"2015-03-20","1.142124e-10"
"2015-03-23","1.478375e-10"
"2015-03-24","1.482281e-10"
"2015-03-25","1.211993e-10"
"2015-03-26","6.112681e-10"
"2015-03-27","6.678228e-10"
"2015-03-30","2.596516e-10"
"2015-03-31","2.024160e-10"
"2015-04-01","2.601941e-10"
"2015-04-02","2.681671e-10"
"2015-04-03","1.707194e-10"
"2015-04-07","1.917494e-10"
"2015-04-08","2.014172e-10"
"2015-04-09","1.734199e-10"
"2015-04-10","2.374022e-10"
"2015-04-13","2.686041e-10"
"2015-04-14","1.516757e-10"
"2015-04-15","1.706817e-10"
"2015-04-16","2.008885e-10"
"2015-04-17","1.352087e-10"
"2015-04-20","2.960945e-10"
"2015-04-21","3.210358e-10"
"2015-04-22","2.250332e-10"
"2015-04-23","1.080076e-09"
"2015-04-24","6.695511e-10"
"2015-04-27","7.328803e-10"
"2015-04-28","4.961971e-10"
"2015-04-29","3.149436e-10"
"2015-04-30","2.213623e-10"
"2015-05-04","4.142470e-10"
"2015-05-05","1.602015e-10"
"2015-05-06","1.599478e-10"
"2015-05-07","1.828474e-10"
"2015-05-08","1.377335e-10"
"2015-05-11","1.251320e-10"
"2015-05-12","0.000000e+00"
"2015-05-13","0.000000e+00"
"2015-05-14","1.123609e-10"
"2015-05-15","1.464054e-09"
"2015-05-18","7.253238e-10"
"2015-05-19","2.005308e-10"
"2015-05-20","9.836093e-10"
"2015-05-21","6.398508e-10"
"2015-05-22","9.298321e-10"
"2015-05-25","1.805998e-09"
"2015-05-26","8.910938e-09"
"2015-05-27","7.416346e-10"
"2015-05-28","1.782858e-09"
"2015-05-29","4.032290e-10"
"2015-06-01","8.617565e-09"
"2015-06-02","1.152113e-09"
"2015-06-03","1.152382e-09"
"2015-06-04","6.114105e-10"
"2015-06-05","2.586723e-10"
"2015-06-08","3.473798e-10"
"2015-06-09","3.331597e-10"
"2015-06-10","1.780285e-10"
"2015-06-11","2.066944e-10"
"2015-06-12","2.969958e-10"
"2015-06-15","2.408633e-10"
"2015-06-16","1.705017e-10"
"2015-06-17","1.946083e-10"
"2015-06-18","1.895247e-10"
"2015-06-19","2.223730e-10"
"2015-06-23","2.409245e-10"
"2015-06-24","1.328553e-10"
"2015-06-25","1.991062e-10"
"2015-06-26","2.834818e-10"
"2015-06-29","3.057711e-10"
"2015-06-30","2.869832e-10"
"2015-07-01","2.521924e-10"
"2015-07-02","5.414709e-10"
"2015-07-03","5.075193e-10"
"2015-07-06","2.831012e-10"
"2015-07-07","1.105674e-09"
"2015-07-08","1.983206e-09"
"2015-07-09","1.510929e-10"
"2015-07-10","2.431262e-10"
"2015-07-13","9.924434e-10"
"2015-07-14","1.866955e-09"
"2015-07-15","7.852927e-10"
"2015-07-16","2.580414e-10"
"2015-07-17","2.208156e-10"
"2015-07-20","6.203703e-10"
"2015-07-21","3.530771e-10"
"2015-07-22","1.427076e-10"
"2015-07-23","4.189445e-10"
"2015-07-24","1.731174e-10"
"2015-07-27","2.146367e-10"
"2015-07-28","2.033626e-10"
"2015-07-29","2.259382e-10"
"2015-07-30","2.177172e-10"
"2015-07-31","1.920386e-10"
"2015-08-03","2.175854e-10"
"2015-08-04","1.974042e-10"
"2015-08-05","1.470612e-10"
"2015-08-06","0.000000e+00"
"2015-08-07","1.428826e-10"
"2015-08-10","1.482624e-10"
"2015-08-11","9.653276e-11"
"2015-08-12","1.299149e-10"
"2015-08-13","1.430210e-10"
"2015-08-14","1.504897e-10"
"2015-08-17","2.619996e-10"
"2015-08-18","2.805581e-10"
"2015-08-19","2.638076e-10"
"2015-08-20","1.945829e-10"
"2015-08-21","2.460477e-10"
"2015-08-24","3.846648e-10"
"2015-08-25","4.530480e-10"
"2015-08-26","2.992862e-10"
"2015-08-27","2.864500e-10"
"2015-08-28","2.297887e-10"
"2015-08-31","3.156916e-10"
"2015-09-01","7.974681e-10"
"2015-09-02","3.810800e-10"
"2015-09-07","3.226474e-10"
"2015-09-08","4.185178e-10"
"2015-09-09","1.696145e-10"
"2015-09-10","2.211707e-10"
"2015-09-11","2.370619e-10"
"2015-09-14","4.893063e-10"
"2015-09-15","8.126654e-10"
"2015-09-16","5.013001e-10"
"2015-09-17","2.732924e-10"
"2015-09-18","2.862102e-10"
"2015-09-21","3.400041e-10"
"2015-09-22","1.831336e-10"
"2015-09-23","2.447682e-10"
"2015-09-24","2.066748e-10"
"2015-09-25","3.435574e-10"
"2015-09-28","3.402987e-10"
"2015-09-29","2.900748e-10"
"2015-09-30","0.000000e+00"
"2015-10-08","2.982023e-10"
"2015-10-09","1.773298e-10"
"2015-10-12","5.072729e-10"
"2015-10-13","7.745800e-10"
"2015-10-14","4.337925e-10"
"2015-10-15","3.181673e-10"
"2015-10-16","1.382377e-10"
"2015-10-19","1.371587e-10"
"2015-10-20","1.609708e-10"
"2015-10-21","2.596548e-10"
"2015-10-22","1.876208e-10"
"2015-10-23","1.554961e-10"
"2015-10-26","1.210935e-10"
"2015-10-27","1.863864e-10"
"2015-10-28","2.693410e-10"
"2015-10-29","2.188258e-10"
"2015-10-30","1.883163e-10"
"2015-11-02","2.421461e-10"
"2015-11-03","2.059180e-10"
"2015-11-04","2.148543e-10"
"2015-11-05","1.082278e-10"
"2015-11-06","3.006447e-10"
"2015-11-09","1.489307e-10"
"2015-11-10","3.592523e-10"
"2015-11-11","1.598506e-10"
"2015-11-12","1.176241e-10"
"2015-11-13","1.608434e-10"
"2015-11-16","2.031340e-10"
"2015-11-17","1.216220e-10"
"2015-11-18","1.571616e-10"
"2015-11-19","1.423637e-10"
"2015-11-20","1.059814e-10"
"2015-11-23","1.253068e-10"
"2015-11-24","1.422838e-10"
"2015-11-25","1.147510e-10"
"2015-11-26","1.167595e-10"
"2015-11-27","2.514659e-10"
"2015-11-30","2.781100e-10"
"2015-12-01","2.135633e-10"
"2015-12-02","2.513635e-10"
"2015-12-03","1.650483e-10"
"2015-12-04","1.474899e-10"
"2015-12-07","1.562536e-10"
"2015-12-08","1.818786e-10"
"2015-12-09","1.730975e-10"
"2015-12-10","1.739618e-10"
"2015-12-11","1.920217e-10"
"2015-12-14","2.368560e-10"
"2015-12-15","1.500265e-10"
"2015-12-16","1.332257e-10"
"2015-12-17","2.222998e-10"
"2015-12-18","2.181087e-10"
"2015-12-21","1.699556e-10"
"2015-12-22","1.548644e-10"
"2015-12-23","1.874216e-10"
"2015-12-24","2.542183e-10"
"2015-12-25","1.555206e-10"
"2015-12-28","1.680131e-10"
"2015-12-29","1.599424e-10"
"2015-12-30","1.366001e-10"
"2015-12-31","1.557072e-10"
"2016-01-04","6.979975e-10"
"2016-01-05","0.000000e+00"
"2016-01-06","2.498630e-10"
"2016-01-07","1.967442e-09"
"2016-01-08","3.753119e-10"
"2016-01-11","4.076376e-10"
"2016-01-12","4.375252e-10"
"2016-01-13","4.114341e-10"
"2016-01-14","5.146445e-10"
"2016-01-15","3.776153e-10"
"2016-01-18","4.297254e-10"
"2016-01-19","3.892322e-10"
"2016-01-20","2.621510e-10"
"2016-01-21","3.854310e-10"
"2016-01-22","3.858102e-10"
"2016-01-25","2.796317e-10"
"2016-01-26","5.389841e-10"
"2016-01-27","5.148241e-10"
"2016-01-28","4.857080e-10"
"2016-01-29","4.719318e-10"
"2016-02-01","4.159584e-10"
"2016-02-02","3.986057e-10"
"2016-02-03","3.830418e-10"
"2016-02-04","2.791496e-10"
"2016-02-05","3.187885e-10"
"2016-02-15","5.630403e-10"
"2016-02-16","2.906399e-10"
"2016-02-17","2.290749e-10"
"2016-02-18","2.103152e-10"
"2016-02-19","2.134414e-10"
"2016-02-22","1.792269e-10"
"2016-02-23","2.404666e-10"
"2016-02-24","2.834214e-10"
"2016-02-25","4.755450e-10"
"2016-02-26","3.586715e-10"
"2016-02-29","5.561755e-10"
"2016-03-01","3.993620e-10"
"2016-03-02","3.579936e-10"
"2016-03-03","2.100977e-10"
"2016-03-04","3.890159e-10"
"2016-03-07","3.138459e-10"
