"T","."
"2014-01-02","5.748431e-10"
"2014-01-03","6.257356e-10"
"2014-01-06","8.762069e-10"
"2014-01-07","8.321774e-10"
"2014-01-08","7.586615e-10"
"2014-01-09","8.006073e-10"
"2014-01-10","9.415739e-10"
"2014-01-13","1.031631e-09"
"2014-01-14","9.604945e-10"
"2014-01-15","7.714839e-10"
"2014-01-16","7.271893e-10"
"2014-01-17","9.116954e-10"
"2014-01-20","9.774536e-10"
"2014-01-21","8.402411e-10"
"2014-01-22","6.817968e-10"
"2014-01-23","5.327761e-10"
"2014-01-24","5.256508e-10"
"2014-01-27","5.638472e-10"
"2014-01-28","6.470002e-10"
"2014-01-29","5.766876e-10"
"2014-01-30","7.718352e-10"
"2014-02-07","7.871994e-10"
"2014-02-10","4.345230e-10"
"2014-02-11","3.770023e-10"
"2014-02-12","3.712679e-10"
"2014-02-13","4.169507e-10"
"2014-02-14","3.992259e-10"
"2014-02-17","3.519022e-10"
"2014-02-18","3.618481e-10"
"2014-02-19","3.324892e-10"
"2014-02-20","4.389002e-10"
"2014-02-21","5.056961e-10"
"2014-02-24","5.209789e-10"
"2014-02-25","6.563563e-10"
"2014-02-26","0.000000e+00"
"2014-02-27","5.737866e-10"
"2014-02-28","6.576192e-10"
"2014-03-03","5.646074e-10"
"2014-03-04","5.267028e-10"
"2014-03-05","4.716652e-10"
"2014-03-06","5.278421e-10"
"2014-03-07","4.975143e-10"
"2014-03-10","8.085654e-10"
"2014-03-11","6.937822e-10"
"2014-03-12","7.800628e-10"
"2014-03-13","6.024422e-10"
"2014-03-14","7.138322e-10"
"2014-03-17","6.012846e-10"
"2014-03-18","4.680694e-10"
"2014-03-19","5.968785e-10"
"2014-03-20","8.125243e-10"
"2014-03-21","7.699577e-10"
"2014-03-24","4.733617e-10"
"2014-03-25","4.812861e-10"
"2014-03-26","4.924117e-10"
"2014-03-27","5.607921e-10"
"2014-03-28","6.551060e-10"
"2014-03-31","7.943460e-10"
"2014-04-01","7.083740e-10"
"2014-04-02","5.879825e-10"
"2014-04-03","6.213390e-10"
"2014-04-04","6.063777e-10"
"2014-04-08","5.204958e-10"
"2014-04-09","0.000000e+00"
"2014-04-10","3.854047e-10"
"2014-04-11","4.587358e-10"
"2014-04-14","4.556847e-10"
"2014-04-15","4.788863e-10"
"2014-04-16","4.566526e-10"
"2014-04-17","4.466006e-10"
"2014-04-18","5.450703e-10"
"2014-04-21","6.418893e-10"
"2014-04-22","6.566031e-10"
"2014-04-23","6.398832e-10"
"2014-04-24","6.421524e-10"
"2014-04-25","7.797149e-10"
"2014-04-28","9.191302e-10"
"2014-04-29","8.309319e-10"
"2014-04-30","7.374017e-10"
"2014-05-05","7.355720e-10"
"2014-05-06","5.993411e-10"
"2014-05-07","8.004682e-10"
"2014-05-08","8.328988e-10"
"2014-05-09","9.140514e-10"
"2014-05-12","0.000000e+00"
"2014-05-13","5.939705e-10"
"2014-05-14","6.627438e-10"
"2014-05-15","8.536058e-10"
"2014-05-16","8.902044e-10"
"2014-05-19","1.090385e-09"
"2014-05-20","9.091506e-10"
"2014-05-21","1.021546e-09"
"2014-05-22","7.589055e-10"
"2014-05-23","7.376060e-10"
"2014-05-26","5.706321e-10"
"2014-05-27","5.820140e-10"
"2014-05-28","5.581157e-10"
"2014-05-29","6.320227e-10"
"2014-05-30","6.341061e-10"
"2014-06-03","6.448902e-10"
"2014-06-04","8.076407e-10"
"2014-06-05","6.918770e-10"
"2014-06-06","6.701425e-10"
"2014-06-09","6.543024e-10"
"2014-06-10","5.944600e-10"
"2014-06-11","5.109287e-10"
"2014-06-12","5.434410e-10"
"2014-06-13","4.962017e-10"
"2014-06-16","4.088097e-10"
"2014-06-17","5.189086e-10"
"2014-06-18","6.189909e-10"
"2014-06-19","9.880032e-10"
"2014-06-20","7.768395e-10"
"2014-06-23","6.347334e-10"
"2014-06-24","6.016644e-10"
"2014-06-25","6.721570e-10"
"2014-06-26","4.830721e-10"
"2014-06-27","4.598130e-10"
"2014-06-30","4.178671e-10"
"2014-07-01","3.877229e-10"
"2014-07-02","0.000000e+00"
"2014-07-03","3.530926e-10"
"2014-07-04","3.914161e-10"
"2014-07-07","4.468931e-10"
"2014-07-08","4.246540e-10"
"2014-07-09","4.697946e-10"
"2014-07-10","4.682341e-10"
"2014-07-11","4.918441e-10"
"2014-07-14","3.964962e-10"
"2014-07-15","3.575446e-10"
"2014-07-16","4.123599e-10"
"2014-07-17","4.976170e-10"
"2014-07-18","4.798753e-10"
"2014-07-21","5.188736e-10"
"2014-07-22","4.120927e-10"
"2014-07-23","4.513335e-10"
"2014-07-24","4.263949e-10"
"2014-07-25","4.170351e-10"
"2014-07-28","3.008664e-10"
"2014-07-29","2.849286e-10"
"2014-07-30","3.029225e-10"
"2014-07-31","3.074408e-10"
"2014-08-01","3.157825e-10"
"2014-08-04","3.118913e-10"
"2014-08-05","4.543507e-10"
"2014-08-06","3.208755e-10"
"2014-08-07","3.454386e-10"
"2014-08-08","3.041383e-10"
"2014-08-11","2.714868e-10"
"2014-08-12","2.513689e-10"
"2014-08-13","2.903524e-10"
"2014-08-14","3.789215e-10"
"2014-08-15","3.828276e-10"
"2014-08-18","3.136917e-10"
"2014-08-19","4.058050e-10"
"2014-08-20","3.460136e-10"
"2014-08-21","3.112330e-10"
"2014-08-22","3.068038e-10"
"2014-08-25","4.591304e-10"
"2014-08-26","4.313993e-10"
"2014-08-27","3.931181e-10"
"2014-08-28","4.087990e-10"
"2014-08-29","3.967662e-10"
"2014-09-01","3.144703e-10"
"2014-09-02","2.124479e-10"
"2014-09-03","2.168641e-10"
"2014-09-04","1.957581e-10"
"2014-09-05","2.459147e-10"
"2014-09-09","3.007579e-10"
"2014-09-10","0.000000e+00"
"2014-09-11","3.211321e-10"
"2014-09-12","2.921821e-10"
"2014-09-15","2.631238e-10"
"2014-09-16","3.264368e-10"
"2014-09-17","3.015770e-10"
"2014-09-18","2.794231e-10"
"2014-09-19","2.731714e-10"
"2014-09-22","3.447280e-10"
"2014-09-23","2.817501e-10"
"2014-09-24","2.426565e-10"
"2014-09-25","0.000000e+00"
"2014-09-26","2.944245e-10"
"2014-09-29","2.847747e-10"
"2014-09-30","4.575352e-10"
"2014-10-08","4.127130e-10"
"2014-10-09","4.028120e-10"
"2014-10-10","2.403885e-10"
"2014-10-13","2.932810e-10"
"2014-10-14","2.571334e-10"
"2014-10-15","3.192583e-10"
"2014-10-16","2.797243e-10"
"2014-10-17","3.623706e-10"
"2014-10-20","3.071291e-10"
"2014-10-21","3.098587e-10"
"2014-10-22","3.472469e-10"
"2014-10-23","3.810754e-10"
"2014-10-24","3.656081e-10"
"2014-10-27","4.501850e-10"
"2014-10-28","3.095680e-10"
"2014-10-29","2.001107e-10"
"2014-10-30","2.010024e-10"
"2014-10-31","2.410385e-10"
"2014-11-03","2.385260e-10"
"2014-11-04","2.618574e-10"
"2014-11-05","2.697698e-10"
"2014-11-06","0.000000e+00"
"2014-11-07","2.633760e-10"
"2014-11-10","2.570158e-10"
"2014-11-11","3.794661e-10"
"2014-11-12","3.855859e-10"
"2014-11-13","4.651218e-10"
"2014-11-14","3.540784e-10"
"2014-11-17","3.816709e-10"
"2014-11-18","3.155818e-10"
"2014-11-19","2.968619e-10"
"2014-11-20","3.045971e-10"
"2014-11-21","2.579075e-10"
"2014-11-24","3.322987e-10"
"2014-11-25","2.285317e-10"
"2014-11-26","2.076380e-10"
"2014-11-27","1.923520e-10"
"2014-11-28","1.984432e-10"
"2014-12-01","2.424574e-10"
"2014-12-02","2.001143e-10"
"2014-12-03","1.955635e-10"
"2014-12-04","1.471979e-10"
"2014-12-05","2.938881e-10"
"2014-12-08","2.524708e-10"
"2014-12-09","2.844924e-10"
"2014-12-10","3.168851e-10"
"2014-12-11","2.362593e-10"
"2014-12-12","0.000000e+00"
"2014-12-15","2.545922e-10"
"2014-12-16","3.064191e-10"
"2014-12-17","2.782975e-10"
"2014-12-18","2.535726e-10"
"2014-12-19","3.124102e-10"
"2014-12-22","4.727451e-10"
"2014-12-23","5.008931e-10"
"2014-12-24","4.793563e-10"
"2014-12-25","3.896759e-10"
"2014-12-26","2.871477e-10"
"2014-12-29","3.399874e-10"
"2014-12-30","3.857295e-10"
"2014-12-31","3.612158e-10"
"2015-01-05","4.831066e-10"
"2015-01-06","3.091610e-10"
"2015-01-07","2.629111e-10"
"2015-01-08","2.754668e-10"
"2015-01-09","2.758904e-10"
"2015-01-12","3.866703e-10"
"2015-01-13","3.388575e-10"
"2015-01-14","3.660915e-10"
"2015-01-15","3.119570e-10"
"2015-01-16","2.662235e-10"
"2015-01-19","4.451081e-10"
"2015-01-20","3.167727e-10"
"2015-01-21","2.931698e-10"
"2015-01-22","2.092013e-10"
"2015-01-23","3.070439e-10"
"2015-01-26","2.619917e-10"
"2015-01-27","4.051639e-10"
"2015-01-28","2.875271e-10"
"2015-01-29","2.897238e-10"
"2015-01-30","2.839902e-10"
"2015-02-02","3.371326e-10"
"2015-02-03","2.496488e-10"
"2015-02-04","2.468047e-10"
"2015-02-05","2.549463e-10"
"2015-02-06","3.679142e-10"
"2015-02-09","3.858656e-10"
"2015-02-10","3.335649e-10"
"2015-02-11","2.927161e-10"
"2015-02-12","2.749820e-10"
"2015-02-13","2.916596e-10"
"2015-02-16","2.656169e-10"
"2015-02-17","2.343418e-10"
"2015-02-25","2.421597e-10"
"2015-02-26","2.071479e-10"
"2015-02-27","1.889745e-10"
"2015-03-02","1.716936e-10"
"2015-03-03","1.691170e-10"
"2015-03-04","1.815397e-10"
"2015-03-05","2.677198e-10"
"2015-03-06","3.199690e-10"
"2015-03-09","2.733766e-10"
"2015-03-10","1.830590e-10"
"2015-03-11","1.849508e-10"
"2015-03-12","2.091462e-10"
"2015-03-13","2.068242e-10"
"2015-03-16","4.461262e-10"
"2015-03-17","1.853532e-10"
"2015-03-18","6.586614e-10"
"2015-03-19","0.000000e+00"
"2015-03-20","1.396944e-10"
"2015-03-23","1.384728e-10"
"2015-03-24","1.687483e-10"
"2015-03-25","1.627059e-10"
"2015-03-26","3.426405e-10"
"2015-03-27","2.224808e-10"
"2015-03-30","2.075616e-10"
"2015-03-31","1.340313e-10"
"2015-04-01","1.796623e-10"
"2015-04-02","1.480342e-10"
"2015-04-03","1.341029e-10"
"2015-04-07","1.546553e-10"
"2015-04-08","1.952257e-10"
"2015-04-09","2.374216e-10"
"2015-04-10","2.940004e-10"
"2015-04-13","1.543998e-10"
"2015-04-14","2.221718e-10"
"2015-04-15","2.095534e-10"
"2015-04-16","2.181672e-10"
"2015-04-17","1.213043e-10"
"2015-04-20","3.017030e-10"
"2015-04-21","2.510792e-10"
"2015-04-22","1.869457e-10"
"2015-04-23","2.347444e-10"
"2015-04-24","1.808339e-10"
"2015-04-27","3.315279e-10"
"2015-04-28","4.287697e-10"
"2015-04-29","3.730255e-10"
"2015-04-30","2.977860e-10"
"2015-05-04","3.202464e-10"
"2015-05-05","2.519144e-10"
"2015-05-06","1.994148e-10"
"2015-05-07","2.697060e-10"
"2015-05-08","3.215105e-10"
"2015-05-11","1.927215e-10"
"2015-05-12","1.618945e-10"
"2015-05-13","1.335956e-10"
"2015-05-14","1.581063e-10"
"2015-05-15","1.665068e-10"
"2015-05-18","1.585369e-10"
"2015-05-19","1.820125e-10"
