"T","."
"2014-01-02","6.480000e-10"
"2014-01-03","7.010970e-10"
"2014-01-06","1.012562e-09"
"2014-01-07","9.886842e-10"
"2014-01-08","8.617299e-10"
"2014-01-09","9.514669e-10"
"2014-01-10","1.052428e-09"
"2014-01-13","1.084415e-09"
"2014-01-14","1.064262e-09"
"2014-01-15","8.803102e-10"
"2014-01-16","8.054940e-10"
"2014-01-17","1.024567e-09"
"2014-01-20","1.094875e-09"
"2014-01-21","9.669373e-10"
"2014-01-22","7.775789e-10"
"2014-01-23","6.353917e-10"
"2014-01-24","6.441042e-10"
"2014-01-27","7.069232e-10"
"2014-01-28","7.806245e-10"
"2014-01-29","6.658732e-10"
"2014-01-30","9.143848e-10"
"2014-02-07","8.968073e-10"
"2014-02-10","5.369779e-10"
"2014-02-11","4.231890e-10"
"2014-02-12","4.176221e-10"
"2014-02-13","4.773897e-10"
"2014-02-14","4.783548e-10"
"2014-02-17","3.689816e-10"
"2014-02-18","3.984460e-10"
"2014-02-19","3.959725e-10"
"2014-02-20","0.000000e+00"
"2014-02-21","0.000000e+00"
"2014-02-24","5.888315e-10"
"2014-02-25","7.737916e-10"
"2014-02-26","7.164208e-10"
"2014-02-27","6.470254e-10"
"2014-02-28","7.486060e-10"
"2014-03-03","6.136198e-10"
"2014-03-04","6.266197e-10"
"2014-03-05","5.753878e-10"
"2014-03-06","6.527410e-10"
"2014-03-07","6.062357e-10"
"2014-03-10","9.109201e-10"
"2014-03-11","7.355846e-10"
"2014-03-12","8.447737e-10"
"2014-03-13","7.151843e-10"
"2014-03-14","7.585818e-10"
"2014-03-17","0.000000e+00"
"2014-03-18","5.339059e-10"
"2014-03-19","6.373358e-10"
"2014-03-20","7.801000e-10"
"2014-03-21","8.003520e-10"
"2014-03-24","0.000000e+00"
"2014-03-25","5.149910e-10"
"2014-03-26","5.310401e-10"
"2014-03-27","6.071733e-10"
"2014-03-28","6.889092e-10"
"2014-03-31","8.352893e-10"
"2014-04-01","0.000000e+00"
"2014-04-02","6.430900e-10"
"2014-04-03","6.989253e-10"
"2014-04-04","7.658841e-10"
"2014-04-08","5.736704e-10"
"2014-04-09","4.488366e-10"
"2014-04-10","3.991563e-10"
"2014-04-11","4.791818e-10"
"2014-04-14","4.903546e-10"
"2014-04-15","5.255560e-10"
"2014-04-16","5.317880e-10"
"2014-04-17","5.160998e-10"
"2014-04-18","5.366252e-10"
"2014-04-21","0.000000e+00"
"2014-04-22","7.141817e-10"
"2014-04-23","7.017243e-10"
"2014-04-24","7.392740e-10"
"2014-04-25","8.705351e-10"
"2014-04-28","1.032015e-09"
"2014-04-29","9.776491e-10"
"2014-04-30","0.000000e+00"
"2014-05-05","8.718157e-10"
"2014-05-06","6.697475e-10"
"2014-05-07","8.884492e-10"
"2014-05-08","9.057803e-10"
"2014-05-09","9.327095e-10"
"2014-05-12","7.362608e-10"
"2014-05-13","6.356161e-10"
"2014-05-14","6.818535e-10"
"2014-05-15","9.352837e-10"
"2014-05-16","8.969927e-10"
"2014-05-19","1.059903e-09"
"2014-05-20","9.252336e-10"
"2014-05-21","1.064251e-09"
"2014-05-22","7.102336e-10"
"2014-05-23","7.417249e-10"
"2014-05-26","6.048877e-10"
"2014-05-27","6.352105e-10"
"2014-05-28","0.000000e+00"
"2014-05-29","6.665649e-10"
"2014-05-30","6.616886e-10"
"2014-06-03","6.679572e-10"
"2014-06-04","8.276765e-10"
"2014-06-05","7.295466e-10"
"2014-06-06","7.046357e-10"
"2014-06-09","7.089268e-10"
"2014-06-10","6.498312e-10"
"2014-06-11","5.468303e-10"
"2014-06-12","5.343105e-10"
"2014-06-13","4.978986e-10"
"2014-06-16","4.230980e-10"
"2014-06-17","5.361125e-10"
"2014-06-18","5.925475e-10"
"2014-06-19","9.363551e-10"
"2014-06-20","7.930148e-10"
"2014-06-23","7.379736e-10"
"2014-06-24","7.123495e-10"
"2014-06-25","7.362619e-10"
