"T","."
"2014-01-02","8.800712e-10"
"2014-01-03","9.476943e-10"
"2014-01-06","1.344445e-09"
"2014-01-07","1.237585e-09"
"2014-01-08","1.132926e-09"
"2014-01-09","1.285892e-09"
"2014-01-10","1.433431e-09"
"2014-01-13","1.422395e-09"
"2014-01-14","1.380194e-09"
"2014-01-15","1.162568e-09"
"2014-01-16","1.062106e-09"
"2014-01-17","1.314918e-09"
"2014-01-20","1.480298e-09"
"2014-01-21","1.261529e-09"
"2014-01-22","1.042535e-09"
"2014-01-23","8.101600e-10"
"2014-01-24","8.534710e-10"
"2014-01-27","8.678287e-10"
"2014-01-28","1.010214e-09"
"2014-01-29","8.516991e-10"
"2014-01-30","1.200246e-09"
"2014-02-07","1.229316e-09"
"2014-02-10","7.258796e-10"
"2014-02-11","5.644349e-10"
"2014-02-12","5.476359e-10"
"2014-02-13","5.955436e-10"
"2014-02-14","0.000000e+00"
"2014-02-17","4.924696e-10"
"2014-02-18","6.031826e-10"
"2014-02-19","5.036550e-10"
"2014-02-20","5.876571e-10"
"2014-02-21","7.314687e-10"
"2014-02-24","8.308078e-10"
"2014-02-25","9.999263e-10"
"2014-02-26","9.345194e-10"
"2014-02-27","8.318560e-10"
"2014-02-28","9.413037e-10"
"2014-03-03","7.729200e-10"
"2014-03-04","7.564209e-10"
"2014-03-05","7.572690e-10"
"2014-03-06","8.242532e-10"
"2014-03-07","7.574254e-10"
"2014-03-10","1.146515e-09"
"2014-03-11","9.363919e-10"
"2014-03-12","9.794489e-10"
"2014-03-13","7.919825e-10"
"2014-03-14","9.110311e-10"
"2014-03-17","8.019238e-10"
"2014-03-18","6.230345e-10"
"2014-03-19","7.016859e-10"
"2014-03-20","8.637975e-10"
"2014-03-21","9.473279e-10"
"2014-03-24","5.712277e-10"
"2014-03-25","5.910336e-10"
"2014-03-26","6.240637e-10"
"2014-03-27","7.109267e-10"
"2014-03-28","7.640344e-10"
"2014-03-31","9.501892e-10"
"2014-04-01","9.088092e-10"
"2014-04-02","7.276114e-10"
"2014-04-03","7.196031e-10"
"2014-04-04","7.617026e-10"
"2014-04-08","6.572455e-10"
"2014-04-09","4.811666e-10"
"2014-04-10","4.351243e-10"
"2014-04-11","5.354697e-10"
"2014-04-14","5.781231e-10"
"2014-04-15","6.041264e-10"
"2014-04-16","6.216479e-10"
"2014-04-17","6.070486e-10"
"2014-04-18","6.421616e-10"
"2014-04-21","0.000000e+00"
"2014-04-22","7.610186e-10"
"2014-04-23","8.087789e-10"
"2014-04-24","7.969785e-10"
"2014-04-25","9.687627e-10"
"2014-04-28","1.197204e-09"
"2014-04-29","1.128348e-09"
"2014-04-30","1.043838e-09"
"2014-05-05","1.005451e-09"
"2014-05-06","7.697494e-10"
"2014-05-07","9.880710e-10"
"2014-05-08","1.068020e-09"
"2014-05-09","0.000000e+00"
"2014-05-12","7.699863e-10"
"2014-05-13","6.968941e-10"
"2014-05-14","0.000000e+00"
"2014-05-15","1.090799e-09"
"2014-05-16","1.043565e-09"
"2014-05-19","1.098933e-09"
"2014-05-20","1.034717e-09"
"2014-05-21","1.177054e-09"
"2014-05-22","8.392679e-10"
"2014-05-23","8.460957e-10"
"2014-05-26","6.944034e-10"
"2014-05-27","7.180030e-10"
"2014-05-28","6.790554e-10"
"2014-05-29","8.078828e-10"
"2014-05-30","7.645443e-10"
"2014-06-03","7.367992e-10"
"2014-06-04","9.535084e-10"
"2014-06-05","8.120305e-10"
"2014-06-06","8.224534e-10"
"2014-06-09","8.438616e-10"
"2014-06-10","7.588398e-10"
"2014-06-11","6.250566e-10"
"2014-06-12","6.448933e-10"
"2014-06-13","5.761520e-10"
"2014-06-16","5.168874e-10"
"2014-06-17","6.583575e-10"
"2014-06-18","6.837606e-10"
"2014-06-19","1.131560e-09"
"2014-06-20","9.522661e-10"
"2014-06-23","7.480660e-10"
"2014-06-24","6.826291e-10"
"2014-06-25","0.000000e+00"
"2014-06-26","5.666947e-10"
"2014-06-27","5.250636e-10"
"2014-06-30","4.952541e-10"
"2014-07-01","4.859441e-10"
"2014-07-02","4.836616e-10"
"2014-07-03","4.338200e-10"
"2014-07-04","4.775785e-10"
"2014-07-07","5.375978e-10"
"2014-07-08","6.346938e-10"
"2014-07-09","6.042247e-10"
"2014-07-10","5.887131e-10"
"2014-07-11","5.705936e-10"
"2014-07-14","0.000000e+00"
"2014-07-15","4.683307e-10"
