"T","."
"2014-01-02","1.051053e-10"
"2014-01-03","1.261550e-10"
"2014-01-06","1.420952e-10"
"2014-01-07","1.059725e-10"
"2014-01-08","1.262012e-10"
"2014-01-09","1.222311e-10"
"2014-01-10","1.057699e-10"
"2014-01-13","1.546221e-10"
"2014-01-14","1.524902e-10"
"2014-01-15","1.255928e-10"
"2014-01-16","1.057178e-10"
"2014-01-17","9.832660e-11"
"2014-01-20","1.063136e-10"
"2014-01-21","1.332101e-10"
"2014-01-22","9.579929e-11"
"2014-01-23","7.429561e-11"
"2014-01-24","7.781408e-11"
"2014-01-27","8.836149e-11"
"2014-01-28","1.150613e-10"
"2014-01-29","8.869367e-11"
"2014-01-30","1.085238e-10"
"2014-02-07","1.200972e-10"
"2014-02-10","5.833089e-11"
"2014-02-11","7.288121e-11"
"2014-02-12","7.446831e-11"
"2014-02-13","7.318505e-11"
"2014-02-14","6.468430e-11"
"2014-02-17","7.521734e-11"
"2014-02-18","7.048781e-11"
"2014-02-19","7.567011e-11"
"2014-02-20","7.316043e-11"
"2014-02-21","9.686868e-11"
"2014-02-24","1.167650e-10"
"2014-02-25","1.429420e-10"
"2014-02-26","1.228641e-10"
"2014-02-27","1.202064e-10"
"2014-02-28","9.226718e-11"
"2014-03-03","8.666353e-11"
"2014-03-04","8.840177e-11"
"2014-03-05","9.222940e-11"
"2014-03-06","9.665743e-11"
"2014-03-07","1.007471e-10"
"2014-03-10","1.465564e-10"
"2014-03-11","1.053063e-10"
"2014-03-12","1.262792e-10"
"2014-03-13","8.881214e-11"
"2014-03-14","8.953076e-11"
"2014-03-17","8.633686e-11"
"2014-03-18","7.121511e-11"
"2014-03-19","7.975376e-11"
"2014-03-20","9.380382e-11"
"2014-03-21","1.337808e-10"
"2014-03-24","7.148944e-11"
"2014-03-25","6.736579e-11"
"2014-03-26","9.750711e-11"
"2014-03-27","1.007515e-10"
"2014-03-28","1.133458e-10"
"2014-03-31","1.616432e-10"
"2014-04-01","1.017975e-10"
"2014-04-02","1.069684e-10"
"2014-04-03","9.738724e-11"
"2014-04-04","8.000659e-11"
"2014-04-08","7.495506e-11"
"2014-04-09","5.729067e-11"
"2014-04-10","6.745327e-11"
"2014-04-11","5.681473e-11"
"2014-04-14","6.738250e-11"
"2014-04-15","7.962646e-11"
"2014-04-16","8.451501e-11"
"2014-04-17","9.627639e-11"
"2014-04-18","8.729286e-11"
"2014-04-21","1.090615e-10"
