"T","."
"2014-01-02","1.796102e-10"
"2014-01-03","2.046265e-10"
"2014-01-06","2.800996e-10"
"2014-01-07","2.456785e-10"
"2014-01-08","2.896032e-10"
"2014-01-09","2.656898e-10"
"2014-01-10","2.336448e-10"
"2014-01-13","2.928632e-10"
"2014-01-14","2.677452e-10"
"2014-01-15","2.794773e-10"
"2014-01-16","2.552403e-10"
"2014-01-17","2.381969e-10"
"2014-01-20","3.330271e-10"
"2014-01-21","3.121542e-10"
"2014-01-22","2.267249e-10"
"2014-01-23","2.118633e-10"
"2014-01-24","2.222158e-10"
"2014-01-27","2.479100e-10"
"2014-01-28","2.550970e-10"
"2014-01-29","2.249199e-10"
"2014-01-30","3.099868e-10"
"2014-02-07","2.752908e-10"
"2014-02-10","1.654036e-10"
"2014-02-11","1.444347e-10"
"2014-02-12","1.313727e-10"
"2014-02-13","1.315980e-10"
"2014-02-14","1.605293e-10"
"2014-02-17","1.189774e-10"
"2014-02-18","1.532360e-10"
"2014-02-19","1.742515e-10"
"2014-02-20","1.423967e-10"
"2014-02-21","1.827044e-10"
"2014-02-24","2.337642e-10"
"2014-02-25","2.242948e-10"
"2014-02-26","1.750494e-10"
"2014-02-27","1.904078e-10"
"2014-02-28","1.884394e-10"
"2014-03-03","1.723846e-10"
"2014-03-04","1.744618e-10"
"2014-03-05","2.074901e-10"
"2014-03-06","2.160554e-10"
"2014-03-07","1.840049e-10"
"2014-03-10","2.351840e-10"
"2014-03-11","2.563751e-10"
"2014-03-12","2.582107e-10"
"2014-03-13","2.044898e-10"
"2014-03-14","2.432693e-10"
"2014-03-17","2.414331e-10"
"2014-03-18","2.034585e-10"
"2014-03-19","1.964221e-10"
"2014-03-20","2.281193e-10"
"2014-03-21","1.931288e-10"
"2014-03-24","1.372665e-10"
"2014-03-25","1.488144e-10"
"2014-03-26","1.818526e-10"
"2014-03-27","1.787699e-10"
"2014-03-28","1.797961e-10"
"2014-03-31","2.261443e-10"
"2014-04-01","1.900711e-10"
"2014-04-02","1.451176e-10"
"2014-04-03","1.860348e-10"
"2014-04-04","1.850669e-10"
"2014-04-08","1.476528e-10"
"2014-04-09","1.064737e-10"
"2014-04-10","1.109074e-10"
"2014-04-11","1.753882e-10"
"2014-04-14","1.824232e-10"
"2014-04-15","1.886698e-10"
"2014-04-16","1.584995e-10"
"2014-04-17","1.544694e-10"
"2014-04-18","1.972319e-10"
"2014-04-21","2.316415e-10"
"2014-04-22","1.917525e-10"
"2014-04-23","1.901294e-10"
"2014-04-24","1.958480e-10"
"2014-04-25","2.646418e-10"
"2014-04-28","2.699283e-10"
"2014-04-29","2.359956e-10"
"2014-04-30","2.144629e-10"
"2014-05-05","2.529208e-10"
"2014-05-06","1.678266e-10"
"2014-05-07","2.090594e-10"
"2014-05-08","2.652852e-10"
"2014-05-09","1.840607e-10"
"2014-05-12","1.670874e-10"
"2014-05-13","1.458230e-10"
"2014-05-14","1.624675e-10"
"2014-05-15","2.203672e-10"
"2014-05-16","1.852081e-10"
"2014-05-19","2.590898e-10"
"2014-05-20","2.089083e-10"
"2014-05-21","2.309249e-10"
"2014-05-22","1.669701e-10"
"2014-05-23","1.909511e-10"
"2014-05-26","1.838501e-10"
"2014-05-27","1.699016e-10"
"2014-05-28","1.642448e-10"
"2014-05-29","1.474901e-10"
"2014-05-30","1.728560e-10"
"2014-06-03","1.845555e-10"
"2014-06-04","2.084688e-10"
"2014-06-05","2.067791e-10"
"2014-06-06","2.052889e-10"
"2014-06-09","2.469139e-10"
"2014-06-10","1.721627e-10"
"2014-06-11","1.437946e-10"
"2014-06-12","1.573849e-10"
"2014-06-13","1.297816e-10"
"2014-06-16","1.237056e-10"
"2014-06-17","1.554670e-10"
"2014-06-18","1.455691e-10"
"2014-06-19","2.412939e-10"
"2014-06-20","2.027503e-10"
"2014-06-23","2.403385e-10"
"2014-06-24","2.108288e-10"
"2014-06-25","1.961387e-10"
