index,CL,DC,DX,GY,GYSY,JR,KX,NY,RC,XX,YL
2014/1/2,8.80E-10,8.33E-10,1.05E-10,6.48E-10,6.76E-10,9.10E-11,5.75E-10,1.80E-10,4.48E-10,5.35E-10,4.79E-10
2014/1/3,9.48E-10,1.05E-09,1.26E-10,7.01E-10,7.29E-10,1.09E-10,6.26E-10,2.05E-10,4.64E-10,4.64E-10,4.20E-10
2014/1/6,1.34E-09,1.36E-09,1.42E-10,1.01E-09,9.39E-10,1.14E-10,8.76E-10,2.80E-10,7.27E-10,6.86E-10,5.84E-10
2014/1/7,1.24E-09,1.24E-09,1.06E-10,9.89E-10,9.50E-10,1.23E-10,8.32E-10,2.46E-10,6.62E-10,7.24E-10,5.68E-10
2014/1/8,1.13E-09,1.16E-09,1.26E-10,8.62E-10,8.45E-10,1.11E-10,7.59E-10,2.90E-10,5.93E-10,5.38E-10,4.53E-10
2014/1/9,1.29E-09,1.29E-09,1.22E-10,9.51E-10,9.85E-10,1.32E-10,8.01E-10,2.66E-10,6.84E-10,6.23E-10,5.47E-10
2014/1/10,1.43E-09,1.39E-09,1.06E-10,1.05E-09,1.03E-09,1.05E-10,9.42E-10,2.34E-10,6.90E-10,7.74E-10,6.92E-10
2014/1/13,1.42E-09,1.55E-09,1.55E-10,1.08E-09,1.16E-09,1.19E-10,1.03E-09,2.93E-10,7.23E-10,7.60E-10,6.74E-10
2014/1/14,1.38E-09,1.43E-09,1.52E-10,1.06E-09,1.17E-09,1.16E-10,9.60E-10,2.68E-10,6.92E-10,7.94E-10,6.53E-10
2014/1/15,1.16E-09,1.25E-09,1.26E-10,8.80E-10,9.54E-10,1.16E-10,7.71E-10,2.79E-10,6.00E-10,6.22E-10,5.57E-10
2014/1/16,1.06E-09,1.13E-09,1.06E-10,8.05E-10,7.89E-10,9.88E-11,7.27E-10,2.55E-10,5.77E-10,7.03E-10,5.21E-10
2014/1/17,1.31E-09,1.42E-09,9.83E-11,1.02E-09,9.62E-10,9.65E-11,9.12E-10,2.38E-10,7.14E-10,7.20E-10,6.52E-10
2014/1/20,1.48E-09,1.51E-09,1.06E-10,1.09E-09,1.10E-09,1.27E-10,9.77E-10,3.33E-10,7.77E-10,7.56E-10,8.04E-10
2014/1/21,1.26E-09,1.34E-09,1.33E-10,9.67E-10,9.99E-10,1.20E-10,8.40E-10,3.12E-10,5.89E-10,6.26E-10,6.15E-10
2014/1/22,1.04E-09,1.01E-09,9.58E-11,7.78E-10,8.15E-10,9.88E-11,6.82E-10,2.27E-10,4.69E-10,4.99E-10,5.02E-10
2014/1/23,8.10E-10,8.00E-10,7.43E-11,6.35E-10,5.89E-10,8.50E-11,5.33E-10,2.12E-10,3.53E-10,3.84E-10,4.02E-10
2014/1/24,8.53E-10,8.99E-10,7.78E-11,6.44E-10,5.97E-10,8.73E-11,5.26E-10,2.22E-10,3.71E-10,3.92E-10,4.37E-10
2014/1/27,8.68E-10,8.45E-10,8.84E-11,7.07E-10,7.74E-10,1.01E-10,5.64E-10,2.48E-10,4.23E-10,4.27E-10,4.63E-10
2014/1/28,1.01E-09,1.06E-09,1.15E-10,7.81E-10,7.51E-10,1.05E-10,6.47E-10,2.55E-10,4.89E-10,5.60E-10,4.88E-10
2014/1/29,8.52E-10,9.15E-10,8.87E-11,6.66E-10,6.99E-10,9.69E-11,5.77E-10,2.25E-10,4.62E-10,4.80E-10,4.83E-10
2014/1/30,1.20E-09,1.23E-09,1.09E-10,9.14E-10,9.72E-10,1.46E-10,7.72E-10,3.10E-10,6.14E-10,5.44E-10,6.47E-10
2014/2/7,1.23E-09,1.32E-09,1.20E-10,8.97E-10,9.55E-10,1.37E-10,7.87E-10,2.75E-10,6.37E-10,5.71E-10,7.43E-10
2014/2/10,7.26E-10,7.14E-10,5.83E-11,5.37E-10,5.41E-10,8.14E-11,4.35E-10,1.65E-10,3.61E-10,3.42E-10,4.14E-10
2014/2/11,5.64E-10,5.63E-10,7.29E-11,4.23E-10,4.25E-10,8.36E-11,3.77E-10,1.44E-10,3.01E-10,3.35E-10,3.82E-10
2014/2/12,5.48E-10,5.27E-10,7.45E-11,4.18E-10,4.00E-10,7.61E-11,3.71E-10,1.31E-10,3.10E-10,3.20E-10,3.62E-10
2014/2/13,5.96E-10,6.18E-10,7.32E-11,4.77E-10,4.37E-10,7.25E-11,4.17E-10,1.32E-10,3.15E-10,3.79E-10,3.81E-10
2014/2/14,0,6.02E-10,6.47E-11,4.78E-10,4.78E-10,6.65E-11,3.99E-10,1.61E-10,3.24E-10,3.48E-10,3.81E-10
2014/2/17,4.92E-10,4.27E-10,7.52E-11,3.69E-10,3.40E-10,5.90E-11,3.52E-10,1.19E-10,2.56E-10,2.96E-10,2.91E-10
2014/2/18,6.03E-10,5.14E-10,7.05E-11,3.98E-10,4.25E-10,8.50E-11,3.62E-10,1.53E-10,2.68E-10,4.49E-10,2.87E-10
2014/2/19,5.04E-10,4.88E-10,7.57E-11,3.96E-10,4.23E-10,9.66E-11,3.32E-10,1.74E-10,2.69E-10,0,3.14E-10
2014/2/20,5.88E-10,5.80E-10,7.32E-11,0,4.26E-10,9.65E-11,4.39E-10,1.42E-10,3.35E-10,4.15E-10,3.81E-10
2014/2/21,7.31E-10,7.58E-10,9.69E-11,0,5.82E-10,1.02E-10,5.06E-10,1.83E-10,3.89E-10,4.39E-10,3.70E-10
2014/2/24,8.31E-10,9.17E-10,1.17E-10,5.89E-10,6.62E-10,1.33E-10,5.21E-10,2.34E-10,4.41E-10,5.55E-10,3.87E-10
2014/2/25,0.000000001,9.00E-10,1.43E-10,7.74E-10,7.45E-10,1.04E-10,6.56E-10,2.24E-10,5.53E-10,5.70E-10,4.69E-10
2014/2/26,9.35E-10,9.65E-10,1.23E-10,7.16E-10,7.51E-10,1.32E-10,0,1.75E-10,5.19E-10,5.41E-10,4.70E-10
2014/2/27,8.32E-10,9.70E-10,1.20E-10,6.47E-10,6.80E-10,9.69E-11,5.74E-10,1.90E-10,4.79E-10,5.37E-10,5.00E-10
2014/2/28,9.41E-10,1.05E-09,9.23E-11,7.49E-10,6.42E-10,9.76E-11,6.58E-10,1.88E-10,5.57E-10,5.56E-10,5.28E-10
2014/3/3,7.73E-10,9.21E-10,8.67E-11,6.14E-10,5.03E-10,7.00E-11,5.65E-10,1.72E-10,4.46E-10,4.53E-10,4.60E-10
2014/3/4,7.56E-10,7.77E-10,8.84E-11,6.27E-10,4.94E-10,7.86E-11,5.27E-10,1.74E-10,4.26E-10,4.25E-10,4.39E-10
2014/3/5,7.57E-10,8.39E-10,9.22E-11,5.75E-10,5.11E-10,9.87E-11,4.72E-10,2.07E-10,3.97E-10,4.67E-10,4.48E-10
2014/3/6,8.24E-10,8.83E-10,9.67E-11,6.53E-10,5.91E-10,1.12E-10,5.28E-10,2.16E-10,4.32E-10,5.04E-10,4.52E-10
2014/3/7,7.57E-10,8.05E-10,1.01E-10,6.06E-10,5.74E-10,1.02E-10,4.98E-10,1.84E-10,4.30E-10,4.58E-10,4.30E-10
2014/3/10,1.15E-09,1.21E-09,1.47E-10,9.11E-10,8.79E-10,1.31E-10,8.09E-10,2.35E-10,6.64E-10,6.58E-10,5.78E-10
2014/3/11,9.36E-10,1.01E-09,1.05E-10,7.36E-10,7.29E-10,8.26E-11,6.94E-10,2.56E-10,5.18E-10,5.89E-10,5.63E-10
2014/3/12,9.79E-10,9.72E-10,1.26E-10,8.45E-10,8.41E-10,1.02E-10,7.80E-10,2.58E-10,5.65E-10,6.63E-10,6.00E-10
2014/3/13,7.92E-10,6.84E-10,8.88E-11,7.15E-10,6.08E-10,1.24E-10,6.02E-10,2.04E-10,4.76E-10,5.33E-10,5.02E-10
2014/3/14,9.11E-10,9.07E-10,8.95E-11,7.59E-10,7.18E-10,1.10E-10,7.14E-10,2.43E-10,5.01E-10,5.74E-10,5.43E-10
2014/3/17,8.02E-10,7.47E-10,8.63E-11,0,0,1.13E-10,6.01E-10,2.41E-10,4.77E-10,5.23E-10,5.09E-10
2014/3/18,6.23E-10,8.06E-10,7.12E-11,5.34E-10,5.40E-10,1.00E-10,4.68E-10,2.03E-10,3.65E-10,3.77E-10,3.54E-10
2014/3/19,7.02E-10,9.42E-10,7.98E-11,6.37E-10,0,1.19E-10,5.97E-10,1.96E-10,4.39E-10,4.48E-10,4.53E-10
2014/3/20,8.64E-10,8.19E-10,9.38E-11,7.80E-10,6.97E-10,1.25E-10,8.13E-10,2.28E-10,5.33E-10,6.05E-10,5.48E-10
