"T","."
"2014-01-02","8.330836e-10"
"2014-01-03","1.050406e-09"
"2014-01-06","1.361903e-09"
"2014-01-07","1.239098e-09"
"2014-01-08","1.161012e-09"
"2014-01-09","1.287349e-09"
"2014-01-10","1.388268e-09"
"2014-01-13","1.553102e-09"
"2014-01-14","1.425534e-09"
"2014-01-15","1.246792e-09"
"2014-01-16","1.134821e-09"
"2014-01-17","1.420048e-09"
"2014-01-20","1.512482e-09"
"2014-01-21","1.335747e-09"
"2014-01-22","1.013262e-09"
"2014-01-23","7.998710e-10"
"2014-01-24","8.992583e-10"
"2014-01-27","8.448745e-10"
"2014-01-28","1.059076e-09"
"2014-01-29","9.153933e-10"
"2014-01-30","1.233201e-09"
"2014-02-07","1.321396e-09"
"2014-02-10","7.140604e-10"
"2014-02-11","5.631429e-10"
"2014-02-12","5.267778e-10"
"2014-02-13","6.184700e-10"
"2014-02-14","6.019701e-10"
"2014-02-17","4.269051e-10"
"2014-02-18","5.143368e-10"
"2014-02-19","4.883161e-10"
"2014-02-20","5.799766e-10"
"2014-02-21","7.582765e-10"
"2014-02-24","9.165718e-10"
"2014-02-25","8.998754e-10"
"2014-02-26","9.651248e-10"
"2014-02-27","9.702660e-10"
"2014-02-28","1.051614e-09"
"2014-03-03","9.210976e-10"
"2014-03-04","7.765445e-10"
"2014-03-05","8.393435e-10"
"2014-03-06","8.826555e-10"
"2014-03-07","8.050935e-10"
"2014-03-10","1.211510e-09"
"2014-03-11","1.006685e-09"
"2014-03-12","9.717249e-10"
"2014-03-13","6.840059e-10"
"2014-03-14","9.071132e-10"
"2014-03-17","7.466081e-10"
"2014-03-18","8.055248e-10"
"2014-03-19","9.415535e-10"
"2014-03-20","8.185713e-10"
"2014-03-21","7.072500e-10"
"2014-03-24","4.703329e-10"
"2014-03-25","4.708029e-10"
"2014-03-26","5.148321e-10"
"2014-03-27","4.816118e-10"
"2014-03-28","7.781156e-10"
"2014-03-31","8.216963e-10"
"2014-04-01","6.349144e-10"
"2014-04-02","4.476318e-10"
"2014-04-03","5.267878e-10"
"2014-04-04","5.234948e-10"
"2014-04-08","4.427486e-10"
"2014-04-09","5.739887e-10"
"2014-04-10","3.482560e-10"
"2014-04-11","0.000000e+00"
"2014-04-14","4.557837e-10"
"2014-04-15","4.787921e-10"
"2014-04-16","4.768739e-10"
"2014-04-17","4.861187e-10"
"2014-04-18","5.293201e-10"
"2014-04-21","6.593261e-10"
"2014-04-22","6.299470e-10"
"2014-04-23","6.549546e-10"
"2014-04-24","7.121199e-10"
"2014-04-25","7.685229e-10"
"2014-04-28","9.047321e-10"
"2014-04-29","8.697161e-10"
"2014-04-30","8.059508e-10"
"2014-05-05","8.240271e-10"
"2014-05-06","6.620079e-10"
"2014-05-07","8.958834e-10"
"2014-05-08","9.201385e-10"
"2014-05-09","9.239777e-10"
"2014-05-12","7.239760e-10"
"2014-05-13","6.268283e-10"
"2014-05-14","6.562516e-10"
"2014-05-15","9.422648e-10"
"2014-05-16","9.969638e-10"
"2014-05-19","0.000000e+00"
"2014-05-20","0.000000e+00"
"2014-05-21","1.080890e-09"
"2014-05-22","8.274800e-10"
"2014-05-23","6.941433e-10"
"2014-05-26","6.447561e-10"
"2014-05-27","6.882859e-10"
"2014-05-28","6.513989e-10"
"2014-05-29","7.765784e-10"
"2014-05-30","7.746615e-10"
"2014-06-03","7.502949e-10"
"2014-06-04","9.454288e-10"
"2014-06-05","8.165993e-10"
"2014-06-06","8.733013e-10"
"2014-06-09","8.440885e-10"
"2014-06-10","7.474847e-10"
"2014-06-11","5.882043e-10"
"2014-06-12","6.535594e-10"
"2014-06-13","6.167235e-10"
"2014-06-16","5.444594e-10"
"2014-06-17","6.136627e-10"
"2014-06-18","7.032963e-10"
"2014-06-19","1.175271e-09"
"2014-06-20","8.844660e-10"
"2014-06-23","7.600848e-10"
"2014-06-24","7.630013e-10"
"2014-06-25","8.527987e-10"
"2014-06-26","6.586425e-10"
"2014-06-27","6.042021e-10"
"2014-06-30","5.896159e-10"
"2014-07-01","5.072062e-10"
"2014-07-02","5.040936e-10"
"2014-07-03","4.620798e-10"
"2014-07-04","5.057296e-10"
"2014-07-07","5.203315e-10"
