"T","."
"2014-01-02","4.477902e-10"
"2014-01-03","4.642605e-10"
"2014-01-06","7.267545e-10"
"2014-01-07","6.615533e-10"
"2014-01-08","5.928303e-10"
"2014-01-09","6.840990e-10"
"2014-01-10","6.903858e-10"
"2014-01-13","7.226729e-10"
"2014-01-14","6.917981e-10"
"2014-01-15","6.002790e-10"
"2014-01-16","5.767720e-10"
"2014-01-17","7.135274e-10"
"2014-01-20","7.771263e-10"
"2014-01-21","5.889427e-10"
"2014-01-22","4.690190e-10"
"2014-01-23","3.531346e-10"
"2014-01-24","3.705764e-10"
"2014-01-27","4.234207e-10"
"2014-01-28","4.890655e-10"
"2014-01-29","4.620244e-10"
"2014-01-30","6.141594e-10"
"2014-02-07","6.373019e-10"
"2014-02-10","3.606755e-10"
"2014-02-11","3.006475e-10"
"2014-02-12","3.102462e-10"
"2014-02-13","3.149621e-10"
"2014-02-14","3.243933e-10"
"2014-02-17","2.559517e-10"
"2014-02-18","2.681408e-10"
"2014-02-19","2.691861e-10"
"2014-02-20","3.345949e-10"
"2014-02-21","3.890202e-10"
"2014-02-24","4.407770e-10"
"2014-02-25","5.534262e-10"
"2014-02-26","5.190058e-10"
"2014-02-27","4.785291e-10"
"2014-02-28","5.570531e-10"
"2014-03-03","4.458914e-10"
"2014-03-04","4.259959e-10"
"2014-03-05","3.974892e-10"
"2014-03-06","4.316201e-10"
"2014-03-07","4.303449e-10"
"2014-03-10","6.638903e-10"
"2014-03-11","5.176188e-10"
"2014-03-12","5.646053e-10"
"2014-03-13","4.760519e-10"
"2014-03-14","5.011308e-10"
"2014-03-17","4.771939e-10"
"2014-03-18","3.647600e-10"
"2014-03-19","4.392128e-10"
"2014-03-20","5.334143e-10"
"2014-03-21","5.946764e-10"
"2014-03-24","3.753335e-10"
"2014-03-25","3.860062e-10"
"2014-03-26","4.102616e-10"
"2014-03-27","4.606424e-10"
"2014-03-28","6.171942e-10"
"2014-03-31","6.540125e-10"
"2014-04-01","5.536753e-10"
"2014-04-02","4.793973e-10"
"2014-04-03","4.781720e-10"
"2014-04-04","5.127258e-10"
"2014-04-08","4.205585e-10"
"2014-04-09","3.474343e-10"
"2014-04-10","3.255021e-10"
"2014-04-11","3.760540e-10"
"2014-04-14","3.814617e-10"
"2014-04-15","3.740003e-10"
"2014-04-16","4.179977e-10"
"2014-04-17","3.933028e-10"
"2014-04-18","4.439067e-10"
"2014-04-21","5.070267e-10"
"2014-04-22","5.433481e-10"
"2014-04-23","5.171855e-10"
"2014-04-24","5.538602e-10"
"2014-04-25","6.439782e-10"
"2014-04-28","7.591619e-10"
"2014-04-29","6.963590e-10"
"2014-04-30","6.329717e-10"
"2014-05-05","6.770643e-10"
"2014-05-06","5.188754e-10"
"2014-05-07","6.849822e-10"
"2014-05-08","6.853520e-10"
"2014-05-09","7.463070e-10"
"2014-05-12","5.706484e-10"
"2014-05-13","4.699829e-10"
"2014-05-14","5.230136e-10"
"2014-05-15","7.389588e-10"
"2014-05-16","7.203396e-10"
