"T","."
"2014-01-02","9.098447e-11"
"2014-01-03","1.088885e-10"
"2014-01-06","1.138921e-10"
"2014-01-07","1.227310e-10"
"2014-01-08","1.108285e-10"
"2014-01-09","1.315406e-10"
"2014-01-10","1.052037e-10"
"2014-01-13","1.186420e-10"
"2014-01-14","1.159248e-10"
"2014-01-15","1.159147e-10"
"2014-01-16","9.878042e-11"
"2014-01-17","9.653840e-11"
"2014-01-20","1.270513e-10"
"2014-01-21","1.196756e-10"
"2014-01-22","9.879839e-11"
"2014-01-23","8.501555e-11"
"2014-01-24","8.728260e-11"
"2014-01-27","1.013360e-10"
"2014-01-28","1.046263e-10"
"2014-01-29","9.692530e-11"
"2014-01-30","1.462061e-10"
"2014-02-07","1.369442e-10"
"2014-02-10","8.140479e-11"
"2014-02-11","8.364930e-11"
"2014-02-12","7.608482e-11"
"2014-02-13","7.248078e-11"
"2014-02-14","6.652458e-11"
"2014-02-17","5.903403e-11"
"2014-02-18","8.499082e-11"
"2014-02-19","9.662693e-11"
"2014-02-20","9.650463e-11"
"2014-02-21","1.016907e-10"
"2014-02-24","1.328343e-10"
"2014-02-25","1.043657e-10"
"2014-02-26","1.316320e-10"
"2014-02-27","9.687340e-11"
"2014-02-28","9.757452e-11"
"2014-03-03","6.997424e-11"
"2014-03-04","7.859384e-11"
"2014-03-05","9.866721e-11"
"2014-03-06","1.122988e-10"
"2014-03-07","1.022324e-10"
"2014-03-10","1.306888e-10"
"2014-03-11","8.255012e-11"
"2014-03-12","1.015535e-10"
"2014-03-13","1.235891e-10"
"2014-03-14","1.098269e-10"
"2014-03-17","1.128307e-10"
"2014-03-18","1.004723e-10"
"2014-03-19","1.185509e-10"
"2014-03-20","1.249715e-10"
"2014-03-21","1.086773e-10"
"2014-03-24","7.577410e-11"
"2014-03-25","8.282033e-11"
"2014-03-26","8.493200e-11"
"2014-03-27","1.074127e-10"
"2014-03-28","8.422527e-11"
"2014-03-31","9.617632e-11"
"2014-04-01","9.712324e-11"
"2014-04-02","7.691572e-11"
"2014-04-03","8.488700e-11"
"2014-04-04","1.199930e-10"
"2014-04-08","8.683651e-11"
"2014-04-09","6.504164e-11"
"2014-04-10","7.597616e-11"
"2014-04-11","5.974154e-11"
"2014-04-14","9.249101e-11"
"2014-04-15","1.263179e-10"
"2014-04-16","1.218200e-10"
"2014-04-17","1.092784e-10"
"2014-04-18","1.237838e-10"
"2014-04-21","1.558196e-10"
"2014-04-22","1.337233e-10"
"2014-04-23","1.053764e-10"
"2014-04-24","1.173503e-10"
"2014-04-25","9.423912e-11"
"2014-04-28","9.891622e-11"
"2014-04-29","9.963727e-11"
"2014-04-30","1.044458e-10"
"2014-05-05","1.158493e-10"
"2014-05-06","1.038527e-10"
"2014-05-07","8.453539e-11"
"2014-05-08","1.176545e-10"
"2014-05-09","1.044907e-10"
"2014-05-12","8.847106e-11"
"2014-05-13","8.863540e-11"
"2014-05-14","1.040240e-10"
"2014-05-15","9.861526e-11"
"2014-05-16","1.102549e-10"
"2014-05-19","1.108879e-10"
"2014-05-20","9.688380e-11"
"2014-05-21","1.429026e-10"
"2014-05-22","1.094146e-10"
"2014-05-23","1.074827e-10"
"2014-05-26","1.101658e-10"
"2014-05-27","8.452313e-11"
"2014-05-28","1.026910e-10"
"2014-05-29","9.010415e-11"
"2014-05-30","8.547239e-11"
"2014-06-03","9.441265e-11"
"2014-06-04","1.076413e-10"
"2014-06-05","1.189253e-10"
"2014-06-06","1.147048e-10"
"2014-06-09","1.276255e-10"
"2014-06-10","8.535926e-11"
"2014-06-11","8.155470e-11"
"2014-06-12","8.291266e-11"
"2014-06-13","8.388623e-11"
"2014-06-16","6.351138e-11"
"2014-06-17","8.746623e-11"
"2014-06-18","1.219385e-10"
"2014-06-19","1.270973e-10"
"2014-06-20","1.185155e-10"
"2014-06-23","1.045457e-10"
"2014-06-24","8.736123e-11"
"2014-06-25","1.010039e-10"
"2014-06-26","8.696000e-11"
"2014-06-27","8.566255e-11"
"2014-06-30","8.960254e-11"
"2014-07-01","7.802470e-11"
"2014-07-02","7.502279e-11"
"2014-07-03","7.992708e-11"
"2014-07-04","7.316358e-11"
"2014-07-07","9.083803e-11"
"2014-07-08","8.028444e-11"
"2014-07-09","9.299559e-11"
"2014-07-10","7.634168e-11"
"2014-07-11","9.545628e-11"
"2014-07-14","7.400621e-11"
"2014-07-15","5.643950e-11"
"2014-07-16","5.054486e-11"
"2014-07-17","8.221536e-11"
"2014-07-18","7.499683e-11"
"2014-07-21","8.123538e-11"
"2014-07-22","6.808723e-11"
"2014-07-23","5.165076e-11"
"2014-07-24","6.635643e-11"
"2014-07-25","5.928890e-11"
"2014-07-28","5.784379e-11"
"2014-07-29","3.977938e-11"
"2014-07-30","4.950586e-11"
"2014-07-31","5.744417e-11"
"2014-08-01","4.921260e-11"
"2014-08-04","4.789874e-11"
"2014-08-05","4.702320e-11"
"2014-08-06","5.729088e-11"
"2014-08-07","6.808502e-11"
"2014-08-08","5.706913e-11"
"2014-08-11","6.848411e-11"
"2014-08-12","6.523331e-11"
"2014-08-13","5.607465e-11"
"2014-08-14","6.104144e-11"
"2014-08-15","5.990541e-11"
"2014-08-18","4.837506e-11"
"2014-08-19","4.534504e-11"
"2014-08-20","5.112702e-11"
"2014-08-21","6.919003e-11"
"2014-08-22","5.401919e-11"
"2014-08-25","6.613486e-11"
"2014-08-26","6.058964e-11"
"2014-08-27","6.057255e-11"
"2014-08-28","8.772882e-11"
"2014-08-29","9.640872e-11"
"2014-09-01","5.852931e-11"
"2014-09-02","5.834599e-11"
"2014-09-03","4.666383e-11"
"2014-09-04","4.677579e-11"
"2014-09-05","3.893339e-11"
"2014-09-09","5.216692e-11"
"2014-09-10","5.088188e-11"
"2014-09-11","6.609239e-11"
"2014-09-12","6.766678e-11"
"2014-09-15","4.521120e-11"
"2014-09-16","4.790220e-11"
"2014-09-17","4.284782e-11"
"2014-09-18","5.468508e-11"
"2014-09-19","4.324781e-11"
"2014-09-22","8.322773e-11"
"2014-09-23","5.762191e-11"
"2014-09-24","5.635512e-11"
"2014-09-25","3.909401e-11"
"2014-09-26","5.695143e-11"
"2014-09-29","3.837119e-11"
"2014-09-30","3.107215e-11"
"2014-10-08","3.503051e-11"
"2014-10-09","3.616368e-11"
"2014-10-10","3.925754e-11"
"2014-10-13","5.212370e-11"
"2014-10-14","4.736741e-11"
"2014-10-15","6.272904e-11"
"2014-10-16","4.900105e-11"
"2014-10-17","4.615632e-11"
"2014-10-20","4.376960e-11"
"2014-10-21","5.076406e-11"
"2014-10-22","4.905695e-11"
"2014-10-23","4.369739e-11"
"2014-10-24","4.939224e-11"
"2014-10-27","8.028603e-11"
"2014-10-28","6.429127e-11"
"2014-10-29","4.735334e-11"
"2014-10-30","3.864088e-11"
"2014-10-31","3.537989e-11"
"2014-11-03","3.243804e-11"
"2014-11-04","3.329508e-11"
"2014-11-05","4.193360e-11"
"2014-11-06","4.530485e-11"
"2014-11-07","3.990395e-11"
"2014-11-10","3.645724e-11"
"2014-11-11","3.170861e-11"
"2014-11-12","3.473808e-11"
"2014-11-13","2.856324e-11"
"2014-11-14","3.478911e-11"
