trade_date,yield_rate_000001.SZ,yield_rate_600015.SH,yield_rate_601398.SH,yield_rate_601939.SH,yield_rate_601988.SH,yield_rate_601998.SH
2018/1/2,0.030075188,0.012222222,-0.003225806,0.014322917,0.002518892,0.019354839
2018/1/3,-0.027007299,0.00219539,-0.003236246,-0.005134788,0.005025126,0.007911392
2018/1/4,-0.0060015,0.002190581,-0.01461039,-0.018064516,0,0.003139717
2018/1/5,0.003773585,0.001092896,0.001647446,0.009198423,-0.005,0.007824726
2018/1/8,-0.02556391,0.003275109,-0.001644737,-0.01171875,0.007537688,0.01552795
2018/1/9,0.009259259,0,0.003294893,-0.003952569,-0.012468828,-0.009174312
2018/1/10,0.029816514,0.017410229,0.011494253,0.029100529,0.017676768,0.018518519
2018/1/11,-0.005196733,-0.006417112,0.008116883,0.011568123,0.014888337,0.018181818
2018/1/12,0.01119403,0.007534984,0.006441224,0.002541296,0,0.019345238
2018/1/15,0.04797048,0.004273504,0.0288,0.022813688,0.02200489,0.017518248
2018/1/16,0,0.00212766,0.024883359,0.019826518,0.009569378,0.004304161
2018/1/17,0.002112676,0.010615711,0.019726859,0.019441069,0.004739336,-0.012857143
2018/1/18,0.034434294,0.013655462,0.061011905,0.070321812,0.028301887,0.041968162
2018/1/19,0.005434783,0.01865285,-0.001402525,0.012249443,0.009174312,0
2018/1/22,-0.024324324,-0.016276704,0.007022472,-0.00330033,0,-0.011111111
2018/1/23,0.014542936,0.033092037,0.044630404,0.082781457,0.063636364,0.036516854
2018/1/24,-0.000682594,0.008008008,-0.012016021,-0.014271152,0.002136752,0.002710027
2018/1/25,-0.030054645,-0.008937438,-0.006756757,-0.01344364,-0.012793177,-0.018918919
2018/1/26,-0.01056338,0.008016032,0.002721088,0.009433962,0.004319654,0.015151515
2018/1/29,-0.022064057,-0.011928429,0.008141113,-0.011422638,-0.010752688,-0.012211669
2018/1/30,-0.006550218,-0.019114688,-0.020188425,-0.014705882,-0.026086957,-0.017857143
2018/1/31,0.029304029,0.01025641,0.027472527,0.013859275,0.013392857,0.00979021
2018/2/1,-0.001423488,0.014213198,0.026737968,0.012618297,0.019823789,0.022160665
2018/2/2,0.001425517,-0.011011011,-0.010416667,-0.008307373,-0.010799136,0.005420054
2018/2/5,0.035587189,0.052631579,0.019736842,0.02513089,0.03930131,0.09703504
2018/2/6,-0.037800687,-0.026923077,-0.023225806,-0.039836568,0,-0.015970516
2018/2/7,-0.077142857,-0.011857708,-0.058124174,-0.059574468,-0.035714286,-0.032459426
2018/2/8,-0.029411765,-0.034,-0.043478261,-0.03959276,-0.037037037,-0.064516129
2018/2/9,-0.067783094,-0.045548654,-0.020527859,-0.015312132,-0.029411765,-0.048275862
2018/2/12,0.002566296,-0.005422993,-0.010479042,-0.008373206,-0.018648019,-0.027536232
2018/2/13,0.018771331,0.01308615,0.028744327,0.015681544,0.016627078,0.01490313
2018/2/14,0.005025126,0,0.011764706,0.007125891,0,-0.010279001
2018/2/22,0.038333333,0.016146394,0.01744186,0.035377358,0.021028037,0.054896142
